open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
23287.75,23291.3,23259.0,23261.35,23268.28,23267.16,23259.53,23258.94,23238.86,23255.69,23303.18,23296.56,23387.51,23354.93,23440.92,23425.37,-4.44,-14.8,10.36,49.73,45.99,84.18,86.7,-36.59,83.59,23.37,26.42,20.95,33.9,0.15,-0.02,24.29,23289.77,23238.86,23187.95,0.44,72.09,23298.05,23196.45,0.16,0.28,3.33,0.57,1,0,0,0,0,-0.12,0.12,0.14,0.11,0.02,0.01,0.0,0.01,1,-1,0.1,0.02,0.07,0.11
23260.8,23267.7,23258.5,23263.2,23269.2,23265.84,23263.3,23259.72,23240.85,23256.41,23300.01,23295.25,23384.99,23353.11,23440.12,23423.76,-3.59,-12.56,8.97,50.27,46.36,73.01,82.35,-35.31,52.31,22.5,25.67,20.51,37.7,0.16,-0.02,23.22,23292.3,23240.85,23189.4,0.44,71.72,23298.05,23196.45,0.15,0.29,3.43,0.59,1,0,0,0,0,0.01,0.01,0.04,0.01,0.02,0.01,0.0,0.0,1,-1,0.1,0.03,0.05,0.11
23263.85,23280.65,23261.9,23280.65,23273.47,23270.78,23265.12,23263.52,23243.3,23258.71,23297.44,23294.68,23382.59,23351.68,23439.63,23422.33,-1.49,-10.34,8.86,55.19,49.8,69.71,75.63,-18.97,90.59,22.23,28.21,19.31,18.15,0.08,-0.02,22.9,23297.36,23243.3,23189.23,0.47,84.54,23298.05,23196.45,0.07,0.36,3.86,0.68,1,0,0,0,0,0.08,0.08,0.08,0.07,0.0,0.01,0.0,0.0,1,-1,0.16,0.09,0.05,0.12
23280.75,23294.25,23280.2,23288.15,23276.46,23276.57,23267.78,23268.0,23245.4,23261.52,23295.11,23294.42,23380.2,23350.42,23439.24,23421.0,0.77,-8.12,8.89,57.15,51.22,78.31,73.67,-10.8,135.32,22.49,31.3,18.44,26.7,0.11,-0.02,22.27,23302.9,23245.4,23187.9,0.49,87.17,23298.05,23196.45,0.04,0.39,4.54,0.83,1,0,0,0,0,0.03,0.03,0.06,0.03,0.03,0.0,0.0,0.0,1,-1,0.18,0.11,0.06,0.13
23287.3,23302.85,23284.6,23293.0,23277.27,23282.05,23272.04,23272.55,23248.96,23264.52,23292.76,23294.37,23377.93,23349.28,23438.8,23419.72,2.92,-5.91,8.83,58.42,52.13,86.67,78.23,-10.21,139.28,23.03,32.24,17.35,42.5,0.18,-0.01,21.98,23308.94,23248.96,23188.97,0.52,86.71,23302.85,23196.45,0.04,0.41,4.85,0.87,1,0,0,0,0,0.02,0.02,0.08,0.02,0.04,0.01,0.0,0.0,1,-1,0.19,0.12,0.06,0.13
23293.05,23304.85,23290.7,23301.45,23285.29,23288.51,23276.78,23277.8,23254.0,23268.03,23290.81,23294.64,23375.71,23348.34,23438.52,23418.55,5.25,-3.68,8.93,60.6,53.72,91.85,85.61,-3.45,142.06,23.6,31.39,16.53,47.5,0.2,-0.01,21.42,23313.83,23254.0,23194.17,0.51,89.65,23304.85,23197.75,0.01,0.45,4.84,0.87,1,0,0,0,0,0.04,0.04,0.06,0.04,0.01,0.01,0.0,0.0,1,-1,0.2,0.14,0.07,0.13
23302.2,23327.85,23300.85,23319.2,23296.49,23298.74,23282.84,23285.33,23259.77,23272.91,23289.11,23295.61,23373.72,23347.76,23438.29,23417.56,8.43,-1.26,9.68,64.79,56.87,92.19,90.24,-9.76,172.46,24.85,36.14,15.07,60.6,0.26,-0.01,21.82,23321.35,23259.77,23198.2,0.53,98.25,23327.85,23197.75,0.04,0.52,4.98,0.87,1,0,0,0,0,0.08,0.08,0.12,0.07,0.04,0.01,0.0,0.0,1,-1,0.26,0.2,0.08,0.14
23317.8,23318.0,23307.85,23314.0,23303.16,23303.83,23288.32,23290.54,23265.52,23276.82,23287.03,23296.33,23371.82,23347.09,23437.92,23416.53,10.41,1.07,9.33,62.69,55.7,90.39,91.48,-15.62,127.72,26.02,34.75,14.49,54.7,0.24,-0.01,21.07,23324.78,23265.52,23206.25,0.51,90.9,23327.85,23199.35,0.06,0.49,4.79,0.87,1,0,0,0,0,-0.02,0.02,0.04,0.02,0.0,0.03,0.0,0.01,1,1,0.21,0.16,0.08,0.13
23315.65,23336.75,23315.1,23334.1,23312.35,23313.92,23294.41,23298.46,23271.82,23282.28,23285.19,23297.81,23370.19,23346.83,23437.66,23415.71,13.44,3.55,9.89,67.13,59.11,90.63,91.07,-2.72,148.52,27.61,38.41,13.38,60.9,0.26,-0.01,21.19,23332.08,23271.82,23211.57,0.52,101.68,23336.75,23206.35,0.01,0.55,4.86,0.87,1,0,0,0,0,0.09,0.09,0.09,0.08,0.01,0.0,0.01,0.0,1,1,0.27,0.22,0.1,0.13
23333.5,23340.95,23333.5,23336.95,23321.14,23321.6,23299.2,23305.46,23277.67,23287.48,23283.37,23299.34,23368.5,23346.64,23437.44,23414.92,15.89,6.02,9.88,67.72,59.57,92.43,91.15,-4.37,147.71,29.2,38.88,13.02,48.0,0.21,-0.01,20.21,23339.36,23277.67,23215.99,0.53,98.05,23340.95,23206.35,0.02,0.56,4.98,0.87,1,0,0,0,0,0.01,0.01,0.03,0.01,0.02,0.0,0.0,0.0,1,1,0.25,0.21,0.12,0.14
