open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
46340.9,46343.15,46240.0,46282.55,46298.2,46296.99,46273.61,46307.06,46369.3,46338.77,46344.81,46350.72,46339.38,46360.46,46417.05,46416.13,-32.55,-23.78,-8.76,43.83,45.87,37.74,31.42,-67.09,-23.93,20.07,17.77,18.34,-117.65,-0.25,0.0,81.09,46595.39,46369.3,46143.21,0.98,30.82,46630.2,46200.0,0.75,0.18,-16.37,0.7,-1,0,0,0,1,-0.11,0.11,0.22,0.13,0.0,0.09,0.02,0.0,-1,-1,-0.19,-0.12,0.08,0.25
46278.8,46318.25,46236.6,46316.95,46304.21,46303.64,46280.31,46308.86,46358.72,46336.69,46348.56,46349.4,46338.01,46359.6,46416.46,46415.14,-29.95,-25.02,-4.93,47.25,48.03,43.53,37.86,-46.74,-11.21,18.81,16.49,17.32,67.0,0.14,0.0,81.13,46573.53,46358.72,46143.9,0.93,40.28,46630.2,46200.0,0.68,0.25,-14.6,0.61,-1,0,0,0,0,0.07,0.07,0.18,0.08,0.0,0.09,0.0,0.01,-1,-1,-0.09,-0.04,0.08,0.24
46314.85,46384.65,46271.5,46378.75,46325.67,46328.68,46291.78,46321.57,46349.57,46340.7,46352.63,46350.55,46337.47,46359.98,46416.28,46414.78,-22.64,-24.54,1.9,52.82,51.66,56.11,45.79,-17.83,106.8,18.44,20.58,15.64,114.75,0.25,0.0,83.42,46543.61,46349.57,46155.53,0.84,57.52,46630.2,46200.0,0.54,0.39,-11.11,0.44,-1,0,0,0,0,0.13,0.13,0.24,0.14,0.01,0.09,0.0,0.0,-1,-1,0.06,0.08,0.1,0.21
46374.7,46412.0,46304.4,46342.1,46330.76,46333.15,46304.6,46325.3,46337.12,46340.83,46356.72,46350.22,46336.53,46359.62,46416.95,46414.06,-19.58,-23.55,3.97,49.49,49.5,66.91,55.52,-34.68,123.4,18.5,21.01,14.23,128.1,0.28,0.0,85.15,46496.39,46337.12,46177.84,0.69,51.56,46630.2,46200.0,0.62,0.31,-7.4,0.29,-1,0,0,0,0,-0.08,0.08,0.23,0.07,0.08,0.08,0.0,0.01,-1,-1,0.01,0.0,0.09,0.18
46338.45,46386.3,46309.6,46370.2,46338.11,46345.5,46318.3,46333.47,46330.39,46343.63,46361.04,46351.0,46336.02,46359.83,46417.84,46413.62,-14.72,-21.78,7.07,51.99,51.14,75.92,66.31,-19.72,140.54,18.55,19.65,13.31,137.0,0.3,0.0,84.54,46471.07,46330.39,46189.71,0.61,64.15,46525.3,46200.0,0.33,0.37,-4.28,0.12,-1,0,0,0,0,0.06,0.06,0.17,0.07,0.03,0.06,0.0,0.01,1,-1,0.09,0.06,0.08,0.16
46674.85,46795.25,46674.85,46767.75,46435.15,46486.25,46366.68,46412.43,46344.35,46384.02,46374.97,46367.34,46339.59,46367.91,46420.69,46417.15,20.97,-13.23,34.21,72.64,67.04,80.33,74.39,-4.62,390.63,21.66,41.0,9.6,483.8,1.05,0.0,108.87,46572.96,46344.35,46115.74,0.99,142.6,46795.25,46200.0,0.06,1.21,4.46,0.05,1,0,0,0,0,0.86,0.86,0.26,0.2,0.06,0.0,0.66,0.0,1,-1,0.91,0.83,0.31,0.25
46767.45,46840.5,46712.85,46760.95,46523.95,46577.82,46414.08,46475.79,46360.36,46419.92,46387.59,46382.78,46342.74,46375.69,46423.49,46420.57,48.16,-0.95,49.11,72.07,66.65,87.75,81.33,-12.42,240.8,24.7,40.54,8.8,474.05,1.02,0.0,110.21,46650.35,46360.36,46070.38,1.25,119.07,46840.5,46200.0,0.17,1.2,11.94,0.23,1,1,0,0,0,-0.01,0.01,0.27,0.01,0.16,0.1,0.0,0.0,1,1,0.86,0.73,0.4,0.32
46762.0,46849.55,46729.7,46771.15,46602.43,46642.26,46464.05,46529.5,46379.18,46453.37,46401.12,46398.01,46346.07,46383.52,46426.41,46424.06,69.72,13.18,56.54,72.42,66.95,90.3,86.12,-12.07,162.56,27.57,38.0,8.12,499.7,1.08,0.0,110.9,46720.04,46379.18,46038.32,1.47,107.5,46849.55,46200.0,0.17,1.22,18.35,0.39,1,1,0,0,0,0.02,0.02,0.26,0.02,0.17,0.07,0.0,0.0,1,1,0.85,0.68,0.45,0.38
46769.75,46808.95,46709.85,46718.15,46677.64,46667.56,46504.2,46563.8,46395.22,46478.59,46413.16,46410.56,46348.93,46390.15,46428.73,46426.98,81.59,26.86,54.72,67.67,63.8,84.93,87.66,-20.71,110.93,29.88,35.55,8.89,401.5,0.87,0.0,110.05,46766.8,46395.22,46023.64,1.6,93.45,46849.55,46200.0,0.28,1.11,23.48,0.53,1,0,0,0,0,-0.11,0.11,0.21,0.11,0.08,0.02,0.0,0.0,1,1,0.7,0.52,0.47,0.41
46720.95,46850.3,46720.95,46824.2,46768.44,46719.77,46553.28,46611.14,46419.32,46511.5,46424.66,46426.79,46353.06,46398.74,46431.34,46430.93,98.42,41.17,57.24,71.68,67.06,87.66,87.63,-4.25,102.69,32.21,35.19,8.14,490.75,1.06,0.0,111.63,46834.04,46419.32,46004.61,1.79,98.81,46850.3,46200.0,0.06,1.33,28.77,0.64,1,0,0,0,0,0.23,0.23,0.28,0.22,0.06,0.0,0.01,0.0,1,1,0.87,0.67,0.49,0.46
46823.45,46828.6,46780.05,46809.25,46776.74,46749.6,46605.94,46647.16,46439.78,46539.86,46436.02,46441.78,46356.92,46406.87,46433.82,46434.7,109.29,54.8,54.49,70.35,66.18,89.45,87.35,-6.69,86.89,34.37,34.05,7.88,526.7,1.14,0.0,107.13,46887.72,46439.78,45991.84,1.93,91.24,46850.3,46200.0,0.09,1.3,34.04,0.77,1,0,0,0,0,-0.03,0.03,0.1,0.03,0.01,0.06,0.0,0.0,1,1,0.8,0.58,0.47,0.49
46809.7,46832.6,46751.2,46768.5,46778.25,46755.9,46651.1,46669.22,46465.7,46561.63,46445.53,46454.6,46360.52,46414.03,46436.14,46438.02,113.31,66.5,46.81,66.74,63.77,91.91,89.67,-13.33,68.91,35.82,32.17,9.4,451.55,0.97,0.01,105.29,46926.54,46465.7,46004.87,1.98,82.85,46850.3,46200.0,0.17,1.22,35.74,0.8,1,0,0,0,0,-0.09,0.09,0.17,0.09,0.05,0.04,0.0,0.0,1,1,0.65,0.44,0.43,0.51
46773.6,46815.2,46756.5,46802.4,46784.5,46771.4,46693.46,46693.44,46492.62,46584.56,46456.08,46468.24,46364.98,46421.72,46438.84,46441.65,117.87,76.77,41.1,68.2,64.89,90.73,90.7,-7.81,62.26,37.18,30.85,9.01,423.65,0.91,0.01,101.96,46965.92,46492.62,46019.33,2.04,82.73,46850.3,46200.0,0.1,1.29,37.36,0.83,1,0,0,0,0,0.07,0.07,0.13,0.06,0.03,0.04,0.01,0.0,1,1,0.67,0.47,0.39,0.52
46800.35,46822.85,46766.65,46782.0,46797.27,46774.93,46737.46,46709.54,46521.02,46603.37,46466.3,46480.54,46369.2,46428.86,46440.24,46445.03,118.48,85.11,33.36,66.31,63.65,89.25,90.63,-11.13,55.33,38.48,30.15,8.64,439.9,0.95,0.01,98.69,46992.19,46521.02,46049.86,2.03,77.69,46850.3,46200.0,0.15,1.24,37.1,0.82,1,0,0,0,0,-0.04,0.04,0.12,0.04,0.05,0.03,0.0,0.0,1,1,0.56,0.38,0.28,0.52
46782.05,46809.9,46777.25,46809.9,46794.41,46786.59,46781.42,46727.79,46549.86,46623.04,46476.57,46493.46,46373.97,46436.4,46441.2,46448.66,119.83,92.06,27.77,67.63,64.62,91.49,90.49,-6.58,53.05,39.69,29.4,8.43,439.7,0.95,0.01,93.98,47017.61,46549.86,46082.11,2.01,77.8,46850.3,46214.95,0.09,1.27,36.68,0.82,1,0,0,0,0,0.06,0.06,0.07,0.06,0.0,0.01,0.0,0.0,1,1,0.56,0.4,0.07,0.52
46814.6,46938.05,46803.9,46929.55,46818.47,46834.24,46797.6,46764.47,46582.14,46652.23,46489.51,46510.56,46380.31,46446.17,46442.9,46453.45,129.06,99.46,29.61,72.6,68.41,93.67,91.47,-1.28,86.93,41.51,35.94,7.6,161.8,0.35,0.01,96.84,47061.01,46582.14,46103.27,2.06,86.27,46938.05,46236.6,0.02,1.48,37.9,0.83,1,0,0,0,0,0.26,0.26,0.29,0.24,0.02,0.02,0.01,0.0,1,1,0.75,0.59,0.12,0.53
46928.75,46979.35,46915.15,46951.45,46855.06,46873.31,46816.66,46798.47,46615.37,46680.73,46500.98,46527.85,46386.21,46456.18,46444.55,46458.4,136.58,106.88,29.69,73.4,69.04,96.0,93.72,-4.13,125.94,43.37,37.32,7.23,190.5,0.41,0.01,94.51,47099.87,46615.37,46130.86,2.08,84.68,46979.35,46236.6,0.06,1.52,38.52,0.84,1,0,0,0,0,0.05,0.05,0.14,0.05,0.06,0.03,0.0,0.0,1,1,0.72,0.58,0.15,0.53
46947.45,46990.25,46947.45,46954.3,46885.44,46900.31,46834.97,46826.8,46649.51,46706.78,46512.08,46544.57,46392.22,46466.04,46445.83,46463.34,141.13,113.73,27.4,73.51,69.13,96.44,95.37,-5.28,162.39,45.14,36.92,6.98,183.15,0.39,0.01,90.82,47128.47,46649.51,46170.55,2.05,81.82,46990.25,46236.6,0.08,1.53,37.93,0.83,1,0,0,0,0,0.01,0.01,0.09,0.01,0.08,0.0,0.0,0.01,1,1,0.65,0.53,0.17,0.53
