open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
74001.63,74030.41,73976.88,74011.92,74007.94,74010.05,74017.92,74017.67,74061.54,74002.51,73831.77,73793.87,73302.83,73459.35,72858.95,72969.24,46.13,72.51,-26.38,53.2,55.84,42.32,38.12,-52.45,-61.0,17.01,23.08,23.59,-76.04,-0.1,0.03,102.61,74181.01,74061.54,73942.06,0.32,29.24,74254.62,73917.01,0.33,0.13,-8.64,0.7,-1,0,0,1,0,0.01,0.01,0.07,0.01,0.02,0.03,0.0,0.0,-1,1,-0.07,0.01,0.04,0.08
74012.7,74024.11,73916.72,73919.08,73991.46,73979.73,74006.7,73999.75,74052.89,73994.57,73848.96,73798.78,73312.01,73468.46,72863.88,72978.69,34.77,64.96,-30.19,47.05,52.01,29.91,36.88,-98.82,-148.57,16.5,21.36,26.01,-112.25,-0.15,0.03,102.95,74186.48,74052.89,73919.29,0.36,-0.08,74234.25,73916.72,0.43,0.0,-10.19,0.77,-1,0,0,0,1,-0.13,0.13,0.15,0.13,0.02,0.0,0.0,0.0,-1,1,-0.18,-0.1,0.06,0.09
73916.85,74015.9,73909.39,73999.9,73988.85,73986.45,74000.03,73999.77,74041.87,73995.07,73867.89,73806.67,73322.58,73478.98,72869.51,72988.85,31.92,58.35,-26.43,52.23,54.84,30.81,34.35,-56.32,-94.41,16.09,19.79,24.6,-66.64,-0.09,0.02,103.2,74152.85,74041.87,73930.88,0.3,31.09,74234.25,73909.39,0.32,0.12,-8.3,0.74,-1,0,0,0,0,0.11,0.11,0.14,0.11,0.02,0.01,0.0,0.0,-1,1,-0.06,0.01,0.05,0.08
74002.62,74036.87,73967.78,74026.6,73992.23,73999.83,73996.17,74004.65,74035.64,73998.08,73889.13,73815.29,73334.79,73489.83,72875.85,72999.18,31.46,52.97,-21.52,53.83,55.75,33.81,31.51,-43.43,-12.33,15.45,20.3,23.39,-38.61,-0.05,0.02,100.77,74134.76,74035.64,73936.52,0.27,45.44,74184.52,73909.39,0.21,0.16,-6.8,0.63,-1,0,0,0,0,0.04,0.04,0.09,0.03,0.01,0.05,0.0,0.0,-1,1,-0.01,0.04,0.04,0.07
74028.62,74075.38,73979.47,74057.97,74003.09,74019.21,74000.55,74014.35,74031.94,74003.78,73909.63,73824.81,73347.58,73501.08,72882.45,73009.71,33.23,49.03,-15.79,55.72,56.81,57.32,40.65,-28.29,60.43,14.37,21.66,21.8,43.82,0.06,0.02,100.42,74121.45,74031.94,73942.43,0.24,64.54,74158.53,73909.39,0.14,0.2,-4.96,0.41,-1,0,0,0,0,0.04,0.04,0.13,0.04,0.02,0.07,0.0,0.0,-1,1,0.04,0.07,0.05,0.06
74022.3,74022.3,73792.53,73912.59,73983.23,73983.67,73995.58,73995.84,74021.74,73995.1,73921.76,73828.25,73359.99,73509.22,72890.17,73018.69,22.65,43.75,-21.1,46.29,50.84,56.08,49.07,-60.05,-201.09,15.13,18.0,30.01,-49.71,-0.07,0.02,112.21,74116.65,74021.74,73926.83,0.26,-7.5,74128.28,73792.53,0.29,0.16,-5.33,0.42,-1,0,0,0,0,-0.2,0.2,0.31,0.15,0.0,0.16,0.0,0.05,-1,1,-0.15,-0.11,0.06,0.07
73911.85,74099.78,73900.73,74069.46,74013.3,74012.27,74002.38,74009.23,74022.0,74002.18,73934.28,73837.71,73375.29,73520.32,72898.14,73029.15,26.62,40.32,-13.71,55.12,56.07,67.26,60.22,-9.87,53.26,14.95,20.51,26.41,67.99,0.09,0.02,118.41,74117.42,74022.0,73926.59,0.26,74.87,74116.59,73792.53,0.06,0.37,-3.97,0.23,-1,0,0,1,0,0.21,0.21,0.27,0.21,0.04,0.02,0.0,0.0,-1,1,0.06,0.09,0.07,0.07
74070.15,74070.15,73897.61,73900.87,73993.5,73975.14,73991.18,73989.53,74013.6,73992.53,73940.57,73840.19,73388.32,73527.85,72906.24,73037.82,15.97,35.45,-19.48,46.31,50.06,55.12,59.49,-64.74,-84.7,14.8,18.44,23.93,-112.05,-0.15,0.02,122.28,74119.99,74013.6,73907.22,0.29,-2.98,74116.59,73792.53,0.29,0.15,-4.96,0.29,-1,0,0,0,1,-0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0,-1,1,-0.15,-0.12,0.08,0.07
73899.45,73977.59,73895.14,73909.64,73970.11,73953.3,73981.17,73975.0,74005.05,73984.64,73946.86,73842.91,73402.05,73535.41,72914.66,73046.5,8.15,29.99,-21.84,46.79,50.35,54.5,58.96,-61.88,-121.32,14.69,17.53,22.9,-100.08,-0.14,0.02,119.43,74115.88,74005.05,73894.21,0.3,6.96,74116.59,73792.53,0.28,0.16,-5.39,0.31,-1,0,0,0,0,0.01,0.01,0.11,0.01,0.09,0.01,0.0,0.0,-1,1,-0.13,-0.1,0.09,0.08
73910.28,73950.07,73869.37,73887.03,73935.92,73931.21,73969.51,73959.01,73997.52,73975.34,73953.87,73844.64,73414.97,73542.38,72923.44,73054.86,0.12,24.02,-23.9,45.66,49.57,34.71,48.11,-69.24,-140.22,14.84,16.67,23.34,-116.62,-0.16,0.02,116.66,74118.47,73997.52,73876.56,0.33,4.33,74116.59,73792.53,0.31,0.13,-6.56,0.39,-1,0,0,0,1,-0.03,0.03,0.11,0.03,0.05,0.02,0.0,0.0,-1,1,-0.15,-0.12,0.1,0.08
