datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month
2024-01-01 12:15:00,48350.9,48362.2,48275.3,48317.6,87.27,53.17,82.0,80.81,11.8,12.92,-1.12,14.58,48251.68,47848.26,48259.06,48123.31,48291.31,48459.31,86.9,33.3,11.3,42.3,12,0,1
2024-01-01 12:35:00,48318.6,48327.9,48293.1,48320.1,83.52,53.42,80.11,81.19,12.51,10.9,1.61,14.48,48254.36,47852.95,48263.09,48135.42,48294.05,48452.68,34.8,1.5,7.8,25.5,12,0,1
2024-01-01 12:55:00,48319.6,48334.2,48294.4,48307.7,80.4,51.95,73.24,78.45,11.93,8.26,3.67,14.49,48256.46,47857.48,48266.85,48144.25,48295.35,48446.45,39.8,11.9,14.6,13.3,12,0,1
2024-01-01 13:15:00,48311.2,48319.7,48283.5,48308.2,77.24,52.0,72.34,75.23,11.38,6.17,5.21,14.26,48258.48,47861.96,48269.76,48152.97,48296.58,48440.18,36.2,3.0,8.5,24.7,13,0,1
2024-01-01 13:35:00,48310.4,48334.9,48292.6,48312.6,74.75,52.54,73.05,72.88,11.17,4.77,6.4,14.31,48260.6,47866.44,48276.29,48160.12,48298.1,48436.08,42.3,2.2,22.3,17.8,13,0,1
2024-01-01 13:55:00,48311.8,48369.9,48299.9,48357.0,74.41,57.69,81.07,75.49,14.42,6.41,8.01,14.94,48264.38,47871.32,48285.06,48165.53,48303.71,48441.88,70.0,45.2,12.9,11.9,13,0,1
2024-01-01 14:15:00,48352.6,48439.9,48344.6,48405.8,75.9,62.5,84.52,79.55,20.7,10.15,10.55,16.45,48269.93,47876.64,48299.91,48170.26,48313.44,48456.6,95.3,53.2,34.1,8.0,14,0,1
2024-01-01 14:35:00,48407.2,48450.0,48372.9,48400.8,75.98,61.73,85.37,83.65,24.98,11.55,13.43,17.97,48275.06,47881.86,48310.5,48177.53,48321.76,48465.98,77.1,6.4,42.8,27.9,14,0,1
2024-01-01 14:55:00,48402.1,48435.0,48164.1,48213.6,89.91,41.15,60.13,76.67,13.12,-0.25,13.37,17.57,48272.65,47885.16,48308.65,48129.36,48311.46,48493.54,270.9,188.5,32.9,49.5,14,0,1
2024-01-01 15:15:00,48217.2,48240.1,48044.1,48064.3,97.48,32.0,33.63,59.71,-8.24,-17.29,9.05,18.35,48264.48,47886.94,48298.92,48085.84,48287.92,48489.99,196.0,152.9,22.9,20.2,15,0,1
2024-01-02 09:15:00,48194.8,48211.9,48068.1,48145.1,101.06,39.8,15.72,36.5,-18.43,-21.98,3.55,19.08,48259.8,47889.51,48292.73,48063.36,48274.31,48485.26,143.8,49.7,17.1,77.0,9,1,1
2024-01-02 09:35:00,48145.6,48223.6,48127.9,48131.7,100.68,39.0,17.15,22.17,-27.27,-24.66,-2.61,19.56,48254.78,47891.92,48288.0,48051.64,48260.73,48469.82,95.7,13.9,78.0,3.8,9,1,1
2024-01-02 09:55:00,48131.9,48137.3,47892.9,47968.6,110.95,30.87,20.02,17.63,-46.9,-35.43,-11.47,21.63,48243.56,47892.68,48271.72,47997.18,48232.91,48468.64,244.4,163.3,5.4,75.7,9,1,1
2024-01-02 10:15:00,47967.6,47984.6,47861.7,47908.7,111.8,28.52,14.39,17.18,-66.52,-44.04,-22.48,23.71,48230.42,47892.84,48254.62,47965.35,48202.03,48438.72,122.9,58.9,17.0,47.0,10,1,1
2024-01-02 10:35:00,47904.1,47944.8,47814.8,47904.0,113.1,28.34,11.87,15.43,-81.51,-47.23,-34.29,25.86,48217.62,47892.96,48236.1,47934.74,48173.65,48412.55,130.0,0.1,40.7,89.2,10,1,1
2024-01-02 10:55:00,47905.3,47920.5,47850.6,47861.6,110.01,26.68,9.8,12.02,-95.71,-49.14,-46.57,27.86,48203.66,47892.64,48212.66,47914.46,48143.93,48373.4,69.9,43.7,15.2,11.0,10,1,1
