datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,skew_close_20,kurt_close_20,roc_close_5,roc_close_10,roc_close_20,acf_close_lag1,pacf_close_lag1,acf_close_lag2,pacf_close_lag2,acf_close_lag3,pacf_close_lag3,acf_close_lag4,pacf_close_lag4,acf_close_lag5,pacf_close_lag5,acf_close_lag6,pacf_close_lag6,acf_close_lag7,pacf_close_lag7,acf_close_lag8,pacf_close_lag8,acf_close_lag9,pacf_close_lag9,acf_close_lag10,pacf_close_lag10,cci_20,hour,day_of_week,month
2022-12-27 12:15:00,48446.2,48783.9,48295.3,48765.3,389.22,49.58,51.22,47.02,-264.7,15.07,-279.77,22.35,48900.52,47478.24,48727.76,47848.13,48678.46,49508.78,488.6,319.1,18.6,150.9,-0.6844,-0.6653,2.5819,-0.7637,-1.1297,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-14.49,12,1,12
2022-12-27 15:15:00,48775.8,48854.2,48771.1,48776.5,367.77,49.78,54.72,50.87,-223.91,44.68,-268.6,21.1,48895.66,47491.16,48711.04,47919.62,48687.8,49455.98,83.1,0.7,77.7,4.7,-0.6353,-0.6488,1.1786,0.6593,-0.6807,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,12.68,15,1,12
2022-12-28 09:15:00,48758.3,48957.7,48590.2,48931.6,367.75,52.57,61.53,55.82,-177.04,73.25,-250.29,19.7,48897.07,47505.5,48703.44,47945.99,48711.02,49476.04,367.5,173.3,26.1,168.1,-0.6194,-0.6257,1.0021,0.8466,-0.3099,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,18.91,9,2,12
2022-12-28 12:15:00,48926.2,48971.2,48700.7,48700.7,360.8,48.27,60.61,58.95,-156.71,74.86,-231.57,18.36,48889.36,47517.38,48680.24,47966.35,48710.03,49453.72,270.5,225.5,45.0,0.0,-0.5558,-0.582,0.3509,1.976,-0.9438,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,16.97,12,2,12
2022-12-28 15:15:00,48717.3,48728.4,48645.1,48655.7,340.98,47.46,64.9,62.35,-142.59,71.18,-213.77,17.26,48880.2,47528.72,48648.9,48016.14,48704.86,49393.58,83.3,61.6,11.1,10.6,-0.5025,-0.4751,0.4173,2.2959,-1.2719,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,4.72,15,2,12
2022-12-29 09:15:00,48559.8,48586.4,48360.5,48521.0,337.71,45.01,66.74,64.08,-140.65,58.5,-199.15,16.97,48866.12,47538.59,48606.2,48007.98,48687.35,49366.71,225.9,38.8,26.6,160.5,-0.4647,-0.3239,-0.501,2.068,-1.7294,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-18.9,9,3,12
2022-12-29 12:15:00,48526.0,49232.8,48507.8,49206.6,365.37,57.13,80.86,70.83,-82.83,93.05,-175.89,16.45,48879.47,47555.18,48596.86,47984.04,48736.8,49489.56,725.0,680.6,26.2,18.2,-0.5426,-0.275,0.8818,2.0708,-0.378,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,68.23,12,3,12
2022-12-29 15:15:00,49217.9,49316.0,49211.3,49245.9,347.09,57.71,88.86,78.82,-33.46,113.94,-147.4,16.16,48893.84,47572.01,48608.19,48083.38,48785.28,49487.19,104.7,28.0,70.1,6.6,-0.5055,-0.3703,0.6423,1.6509,0.4621,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,111.5,15,3,12
2022-12-30 09:15:00,49364.2,49402.8,49017.3,49078.4,349.83,54.36,92.96,87.56,-7.75,111.72,-119.47,15.36,48901.08,47587.0,48593.61,48104.72,48813.2,49521.68,385.5,285.8,38.6,61.1,-0.5997,-0.2758,0.7756,1.1292,-0.5906,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,97.63,9,4,12
2022-12-30 12:15:00,49079.6,49172.5,48755.8,48901.9,354.61,51.0,85.16,89.0,-1.6,94.29,-95.9,14.54,48901.11,47600.08,48569.94,48101.27,48821.65,49542.03,416.7,177.7,92.9,146.1,-0.7528,-0.1214,0.506,0.9254,-0.9586,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,66.65,12,4,12
2022-12-30 15:15:00,48899.3,49031.6,48859.0,48965.8,341.61,52.15,75.35,84.49,8.33,83.38,-75.05,13.78,48903.65,47613.67,48561.2,48150.73,48835.38,49520.02,172.6,66.5,65.8,40.3,-0.7978,-0.0408,0.9167,0.4112,-0.3557,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,75.06,15,4,12
2023-01-02 09:15:00,48866.4,49309.3,48866.4,49180.4,348.84,55.9,74.03,78.18,33.13,86.55,-53.42,13.22,48914.5,47629.26,48597.38,48164.43,48868.24,49572.04,442.9,314.0,128.9,0.0,-0.8356,-0.11,-0.0532,0.8281,1.4929,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,95.3,9,0,1
2023-01-02 12:15:00,49170.8,49198.4,48939.6,49095.9,342.41,54.1,73.08,74.15,45.45,79.09,-33.64,12.71,48921.62,47643.85,48626.13,48203.85,48889.92,49575.99,258.8,74.9,27.6,156.3,-0.9035,-0.1267,-0.3046,0.3358,1.1853,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,79.81,12,0,1
2023-01-02 15:15:00,49095.7,49202.7,49095.7,49180.0,325.6,55.63,77.39,74.83,61.29,75.95,-14.66,12.24,48931.74,47659.14,48697.28,48276.44,48917.54,49558.66,107.0,84.3,22.7,0.0,-1.1426,0.6971,0.207,0.9842,2.9797,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,88.01,15,0,1
2023-01-03 09:15:00,49070.0,49406.4,49068.6,49226.5,326.47,56.5,78.34,76.27,76.71,73.09,3.62,12.34,48943.3,47674.74,48780.42,48302.58,48946.97,49591.36,337.8,156.5,179.9,1.4,-1.2373,1.6427,0.6638,1.1731,3.4959,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,97.77,9,1,1
2023-01-03 12:15:00,49224.1,49472.1,49111.3,49413.3,328.92,59.88,85.8,80.51,102.82,79.36,23.46,12.6,48961.74,47692.03,48874.19,48339.64,48991.38,49643.14,360.8,189.2,58.8,112.8,-0.2712,-0.9706,0.9139,1.839,3.9451,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,116.43,12,1,1
2023-01-03 15:15:00,49415.0,49461.5,49395.9,49431.8,310.11,60.21,91.29,85.14,123.58,80.1,43.48,12.84,48980.17,47709.34,48935.36,48431.15,49033.33,49635.5,65.6,16.8,29.7,19.1,-0.1164,-1.2059,0.5112,0.4577,2.5379,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,132.89,15,1,1
2023-01-04 09:15:00,49427.1,49591.4,48923.4,48937.9,335.68,48.7,79.33,85.47,99.04,44.45,54.59,12.3,48978.51,47721.56,48959.96,48352.18,49024.24,49696.3,668.0,489.2,164.3,14.5,-0.1532,-1.0311,-0.3218,-0.6254,1.0151,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,55.49,9,2,1
2023-01-04 12:15:00,48925.6,49195.6,48822.9,48942.4,338.32,48.8,63.52,78.05,79.04,19.56,59.48,12.08,48977.1,47733.72,48980.56,48337.4,49016.44,49695.49,372.7,16.8,253.2,102.7,-0.2116,-0.7674,-0.4831,-0.2771,0.849,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,3.29,12,2,1
2023-01-04 15:15:00,48958.6,48987.9,48889.9,48987.9,321.15,49.82,46.16,63.0,66.1,5.29,60.81,11.87,48977.52,47746.2,49007.28,48380.68,49013.72,49646.77,98.0,29.3,0.0,68.7,-0.1047,-0.6793,-0.4847,0.1759,1.1029,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-14.36,15,2,1
2023-01-05 09:15:00,49100.8,49130.8,48533.5,48595.2,340.88,42.02,32.47,47.38,23.89,-29.54,53.42,12.6,48962.52,47754.64,48998.77,48287.34,48973.86,49660.39,597.3,505.6,30.0,61.7,-0.1651,-0.7766,-1.6556,-0.7569,-0.3488,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-88.59,9,3,1
2023-01-05 12:15:00,48587.8,48625.9,48215.5,48554.7,345.84,41.3,24.93,34.52,-12.69,-52.89,40.2,13.95,48946.54,47762.6,48987.68,48234.64,48933.94,49633.26,410.4,33.1,38.1,339.2,-0.2192,-0.8921,-1.7744,-1.2723,-0.4547,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-170.61,12,3,1
2023-01-05 15:15:00,48557.3,48596.4,48503.6,48594.9,327.77,42.36,19.35,25.58,-38.0,-62.56,24.56,15.21,48932.74,47770.88,48970.84,48251.27,48901.66,49552.04,92.8,37.6,1.5,53.7,-0.1471,-1.1286,-0.7009,-1.0205,-0.6881,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-125.29,15,3,1
2023-01-06 09:15:00,48567.8,48618.6,48143.8,48169.0,338.27,35.16,17.99,20.76,-91.37,-92.74,1.37,17.04,48902.8,47774.85,48944.26,48153.0,48831.88,49510.76,474.8,398.8,50.8,25.2,-0.5692,-0.3819,-1.5802,-2.0557,-1.0918,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-174.17,9,4,1
2023-01-06 12:15:00,48167.3,48187.8,47720.6,48100.3,347.48,34.15,16.54,17.96,-137.62,-111.2,-26.43,19.36,48871.32,47778.08,48916.49,48058.98,48762.2,49465.42,467.2,67.0,20.5,379.7,-0.7355,-0.3366,-1.8119,-2.2878,-1.1415,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-209.07,12,4,1
2023-01-06 15:15:00,48100.6,48120.0,48019.0,48100.4,329.88,34.15,14.11,16.21,-172.29,-116.69,-55.6,21.52,48841.09,47781.3,48895.46,48043.69,48699.18,49354.66,101.0,0.2,19.4,81.4,-0.7855,-0.4751,-1.0182,-2.657,-0.8668,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-170.06,15,4,1
2023-01-09 09:15:00,48314.6,48653.9,48051.7,48616.2,349.33,47.31,29.49,20.05,-156.33,-80.59,-75.74,21.63,48832.28,47789.6,48865.94,47983.51,48691.28,49399.04,602.2,301.6,37.7,262.9,-0.6175,-0.6392,0.1267,-1.65,-1.1998,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-82.41,9,0,1
2023-01-09 12:15:00,48620.6,48636.3,48269.4,48560.5,350.58,46.23,37.69,27.1,-146.5,-56.6,-89.89,21.73,48821.62,47797.27,48831.67,47968.58,48678.82,49389.06,366.9,60.1,15.7,291.1,-0.4465,-0.7502,-0.0708,-0.7712,-1.3918,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-64.41,12,0,1
2023-01-09 15:15:00,48574.1,48601.2,48512.0,48531.2,331.91,45.65,45.37,37.52,-139.46,-39.65,-99.81,21.82,48810.22,47804.58,48804.31,48005.17,48664.76,49324.35,89.2,42.9,27.1,19.2,-0.2696,-0.8652,0.7519,-0.8402,-1.115,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-47.34,15,0,1
2023-01-10 09:15:00,48646.9,48646.9,47941.2,48039.8,358.61,37.13,35.1,39.38,-171.55,-57.4,-114.16,22.96,48780.01,47806.92,48761.2,47874.05,48605.24,49336.43,705.7,607.1,0.0,98.6,-0.1946,-1.0769,-0.1258,-1.9354,-1.7629,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-98.0,9,1,1
2023-01-10 12:15:00,48042.4,48111.4,47728.7,47973.4,360.33,36.15,24.63,35.03,-200.04,-68.71,-131.33,24.33,48748.38,47808.57,48711.58,47810.62,48545.06,49279.51,382.7,69.0,69.0,244.7,-0.0915,-1.2064,-0.264,-1.2796,-2.0267,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-126.7,12,1,1
2023-01-10 15:15:00,47963.2,47995.9,47942.8,47975.7,338.39,36.21,15.96,25.23,-219.9,-70.85,-149.05,25.61,48718.08,47810.24,48651.35,47816.22,48490.84,49165.46,53.1,12.5,20.2,20.4,0.0623,-1.2205,-1.3175,-1.1925,-2.4496,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-108.88,15,1,1
2023-01-11 09:15:00,47998.4,48207.3,47617.7,48131.3,356.33,40.48,21.58,20.73,-220.53,-57.19,-163.34,27.26,48695.07,47813.43,48603.12,47733.92,48456.6,49179.27,589.6,132.9,76.0,380.7,0.2607,-1.1634,-0.8838,-0.954,-1.9647,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-97.63,9,2,1
2023-01-11 12:15:00,48127.2,48223.0,47941.7,48145.3,350.97,40.87,28.7,22.08,-217.4,-43.25,-174.16,28.73,48673.51,47816.73,48551.38,47719.52,48426.95,49134.38,281.3,18.1,77.7,185.5,0.4686,-0.9473,-0.7952,-0.0492,-2.1039,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-73.53,12,2,1
2023-01-11 15:15:00,48158.6,48256.9,48094.2,48119.8,337.52,40.36,39.09,29.79,-214.51,-32.28,-182.23,29.95,48651.8,47819.74,48496.05,47726.66,48397.7,49068.74,162.7,38.8,98.3,25.6,0.6834,-0.5639,0.1665,0.0405,-2.2482,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-59.51,15,2,1
2023-01-12 09:15:00,48104.4,48202.5,47630.4,47725.8,354.28,33.41,31.25,33.01,-241.23,-47.2,-194.03,31.73,48615.48,47818.81,48411.68,47617.6,48333.7,49049.81,572.1,378.6,98.1,95.4,0.5922,-0.3273,-0.5161,-0.7788,-3.4151,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-105.35,9,3,1
2023-01-12 12:15:00,47729.8,47946.5,47515.9,47889.3,359.73,38.17,30.57,33.64,-246.37,-41.87,-204.49,33.5,48587.0,47819.51,48334.55,47561.46,48291.38,49021.31,430.6,159.5,57.2,213.9,0.3271,-1.0557,-0.1801,-1.4952,-3.1205,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-111.24,12,3,1
