datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month
2023-03-06 12:15:00,18402.4,18417.2,18333.2,18371.5,111.03,63.5,85.39,87.48,37.25,56.46,-19.21,26.99,18204.78,18447.59,18071.85,17929.21,18153.48,18377.76,84.0,30.9,14.8,38.3,12,0,3
2023-03-06 15:15:00,18371.7,18393.2,18365.1,18380.3,105.11,63.89,85.39,86.0,49.66,55.1,-5.44,27.45,18211.66,18446.92,18095.03,17966.82,18175.08,18383.35,28.1,8.6,12.9,6.6,15,0,3
2023-03-08 09:15:00,18316.0,18388.4,18276.7,18278.1,105.58,56.29,77.7,82.83,50.67,44.88,5.79,26.95,18214.26,18445.24,18115.08,17975.18,18184.9,18394.6,111.7,37.9,72.4,1.4,9,2,3
2023-03-08 12:15:00,18277.8,18405.5,18272.3,18398.3,107.55,62.01,79.22,80.77,60.47,43.75,16.72,26.6,18221.48,18444.78,18141.78,17990.11,18205.22,18420.33,133.2,120.5,7.2,5.5,12,2,3
2023-03-08 15:15:00,18397.9,18410.9,18387.2,18390.1,101.56,61.42,79.72,78.88,66.81,40.07,26.74,26.31,18228.09,18444.23,18164.56,18023.69,18222.83,18421.96,23.7,7.8,13.0,2.9,15,2,3
2023-03-09 09:15:00,18374.9,18445.7,18334.2,18384.8,102.27,61.02,86.23,81.73,70.58,35.08,35.51,25.46,18234.24,18443.64,18183.18,18036.84,18238.25,18439.66,111.5,9.9,60.9,40.7,9,3,3
2023-03-09 12:15:00,18384.8,18387.8,18247.0,18247.4,105.02,51.54,77.02,80.99,61.78,21.02,40.76,23.8,18234.76,18441.69,18193.93,18030.08,18239.12,18448.17,140.8,137.4,3.0,0.4,12,3,3
2023-03-09 15:15:00,18248.6,18258.5,18237.2,18243.2,99.04,51.28,68.05,77.1,53.84,10.46,43.38,22.18,18235.09,18439.71,18205.4,18046.32,18239.51,18432.7,21.3,5.4,9.9,6.0,15,3,3
2023-03-10 09:15:00,18077.3,18088.0,17863.2,17935.2,119.11,36.58,43.66,62.91,22.44,-16.75,39.19,22.98,18223.33,18434.69,18202.64,17963.36,18210.53,18457.7,224.8,142.1,10.7,72.0,9,4,3
2023-03-10 12:15:00,17934.6,17969.4,17872.4,17926.8,117.53,36.27,27.21,46.31,-3.09,-33.82,30.74,23.73,18211.7,18429.64,18198.78,17941.4,18183.51,18425.62,97.0,7.8,34.8,54.4,12,4,3
2023-03-10 15:15:00,17926.6,17941.8,17921.5,17929.3,110.59,36.44,11.15,27.34,-22.85,-42.87,20.02,24.42,18200.62,18424.66,18191.11,17936.38,18159.3,18382.22,20.3,2.7,12.5,5.1,15,4,3
2023-03-13 09:15:00,17907.6,18079.0,17870.2,17878.8,117.6,34.44,8.03,15.46,-42.11,-49.7,7.59,23.78,18188.0,18419.23,18180.2,17891.12,18132.58,18374.04,208.8,28.8,171.4,8.6,9,0,3
2023-03-13 12:15:00,17878.7,17888.9,17584.0,17606.3,130.98,26.11,5.36,8.18,-78.45,-68.83,-9.62,24.59,18165.19,18411.14,18155.32,17805.92,18082.46,18359.0,304.9,272.4,10.2,22.3,12,0,3
2023-03-13 15:15:00,17608.5,17686.1,17608.5,17667.6,127.32,30.2,4.94,6.11,-101.14,-73.22,-27.92,25.34,18145.68,18403.74,18136.49,17777.55,18042.95,18308.35,77.6,59.1,18.5,0.0,15,0,3
2023-03-14 09:15:00,17617.5,17717.7,17456.4,17491.1,136.89,25.78,5.25,5.18,-131.84,-83.14,-48.71,26.62,18120.01,18394.66,18113.34,17700.5,17990.4,18280.29,261.3,126.4,100.2,34.7,9,1,3
2023-03-14 12:15:00,17491.2,17664.5,17470.3,17569.3,140.99,30.63,8.21,6.13,-148.16,-79.56,-68.6,27.81,18098.41,18386.45,18095.06,17651.01,17950.29,18249.57,194.2,78.1,95.2,20.9,12,1,3
2023-03-14 15:15:00,17569.2,17578.7,17521.8,17578.6,134.98,31.2,9.09,7.51,-158.51,-71.93,-86.58,28.91,18078.03,18378.41,18059.94,17633.28,17914.89,18196.51,56.9,9.4,0.1,47.4,15,1,3
2023-03-15 09:15:00,17693.4,17746.2,17589.0,17608.3,137.31,33.11,13.04,10.11,-162.45,-60.69,-101.75,28.43,18059.6,18370.75,18027.32,17598.97,17885.69,18172.41,157.2,85.1,52.8,19.3,9,2,3
2023-03-15 12:15:00,17609.0,17620.3,17394.8,17404.8,143.61,27.49,9.55,10.56,-179.91,-62.53,-117.39,28.84,18033.93,18361.14,17984.62,17537.53,17839.89,18142.26,225.5,204.2,11.3,10.0,12,2,3
2023-03-15 15:15:00,17405.3,17412.7,17361.8,17407.2,136.99,27.64,6.91,9.83,-191.36,-59.18,-132.18,29.36,18009.35,18351.64,17934.85,17515.42,17798.68,18081.94,50.9,1.9,5.5,43.5,15,2,3
2023-03-16 09:15:00,17429.9,17523.4,17261.3,17360.7,145.92,26.45,5.11,7.19,-201.85,-55.74,-146.11,28.96,17983.91,18341.78,17884.31,17450.76,17756.97,18063.18,262.1,69.2,93.5,99.4,9,3,3
2023-03-16 12:15:00,17360.6,17564.4,17322.7,17449.9,152.77,32.45,12.4,8.14,-200.65,-43.63,-157.02,28.27,17962.97,18332.91,17837.79,17404.64,17727.73,18050.81,241.7,89.3,114.5,37.9,12,3,3
2023-03-16 15:15:00,17450.5,17509.4,17449.5,17492.3,146.13,35.16,20.34,12.62,-194.05,-29.62,-164.43,27.64,17944.51,18324.54,17798.5,17401.58,17705.3,18009.03,59.9,41.8,17.1,1.0,15,3,3
2023-03-17 09:15:00,17577.1,17649.1,17417.3,17427.2,152.25,32.97,23.78,18.84,-191.86,-21.94,-169.91,26.01,17924.23,18315.62,17749.94,17359.87,17678.82,17997.77,231.8,149.9,72.0,9.9,9,4,3
2023-03-17 12:15:00,17427.6,17701.8,17386.2,17690.3,163.92,47.25,33.67,25.93,-166.96,2.36,-169.32,24.16,17915.05,18309.4,17714.96,17331.22,17679.91,18028.6,315.6,262.7,11.5,41.4,12,4,3
