datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-09-20 13:15:00,18824.9,18828.2,18732.6,18740.9,128.33,60.7,80.27,64.86,64.81,11.43,53.38,21.03,18440.64,17699.32,18612.36,18325.21,18586.51,18847.81,95.6,84.0,3.3,8.3,13,1,9,2.0,0.0,6.0
2022-09-20 15:15:00,18739.3,18760.2,18711.1,18727.4,122.67,59.78,82.38,76.01,68.32,11.95,56.36,21.41,18451.88,17709.55,18618.4,18354.16,18599.93,18845.69,49.1,11.9,20.9,16.3,15,1,9,2.0,0.0,5.0
2022-09-21 09:15:00,18664.7,18774.2,18622.9,18695.3,124.72,57.54,78.81,80.49,67.72,9.09,58.64,20.95,18461.43,17719.36,18623.36,18357.83,18609.01,18860.19,151.3,30.6,78.9,41.8,9,2,9,2.0,0.0,4.0
2022-09-21 11:15:00,18694.8,18710.3,18518.8,18585.8,129.49,50.58,69.75,76.98,57.75,-0.71,58.46,19.69,18466.31,17727.98,18614.6,18343.07,18606.8,18870.53,191.5,109.0,15.5,67.0,11,2,9,2.0,0.0,4.0
2022-09-21 13:15:00,18587.1,18707.7,18578.0,18663.3,129.5,54.75,66.01,71.53,55.47,-2.39,57.86,18.51,18474.03,17737.29,18612.29,18348.86,18612.18,18875.5,129.7,76.2,44.4,9.1,13,2,9,2.0,0.0,2.0
2022-09-21 15:15:00,18662.9,18673.7,18646.8,18664.4,122.17,54.81,64.21,66.66,53.13,-3.78,56.91,17.41,18481.5,17746.51,18608.72,18373.79,18617.15,18860.52,26.9,1.5,9.3,16.1,15,2,9,2.0,0.0,1.0
2022-09-22 09:15:00,18504.9,18581.5,18394.4,18421.2,132.73,41.95,54.47,61.56,31.29,-20.5,51.79,17.69,18479.14,17753.23,18597.9,18326.88,18598.49,18870.11,187.1,83.7,76.6,26.8,9,3,9,2.0,0.0,4.0
2022-09-22 11:15:00,18422.6,18423.2,18274.9,18383.6,133.85,40.37,37.99,52.22,10.83,-32.77,43.6,18.56,18475.39,17759.5,18581.09,18304.03,18578.03,18852.02,148.3,39.0,0.6,108.7,11,3,9,2.0,0.0,3.0
2022-09-22 13:15:00,18382.2,18534.6,18381.2,18397.3,135.24,41.23,22.23,38.23,-4.24,-38.27,34.03,18.46,18472.33,17765.85,18568.19,18283.7,18560.82,18837.94,153.4,15.1,137.3,1.0,13,3,9,2.0,0.0,2.0
2022-09-22 15:15:00,18397.7,18415.6,18378.0,18405.2,128.27,41.76,21.26,27.16,-15.36,-39.51,24.15,18.38,18469.69,17772.21,18556.01,18288.1,18545.99,18803.88,37.6,7.5,10.4,19.7,15,3,9,2.0,0.0,1.0
2022-09-23 09:15:00,18300.2,18342.6,17994.5,18030.4,148.44,28.66,16.26,19.92,-53.8,-62.36,8.56,19.96,18452.47,17774.78,18530.4,18185.33,18496.89,18808.45,348.1,269.8,42.4,35.9,9,4,9,2.0,0.0,4.0
2022-09-23 11:15:00,18030.1,18064.5,17941.6,17970.0,146.62,27.18,10.12,15.88,-88.12,-77.35,-10.77,21.6,18433.54,17776.72,18507.15,18141.42,18446.71,18752.0,122.9,60.1,34.4,28.4,11,4,9,2.0,0.0,3.0
2022-09-23 13:15:00,17971.8,18009.1,17882.8,17946.4,145.17,26.6,4.67,10.35,-115.89,-84.09,-31.8,23.31,18414.44,17778.41,18484.64,18098.78,18399.06,18699.34,126.3,25.4,37.3,63.6,13,4,9,2.0,0.0,2.0
2022-09-23 15:15:00,17945.0,17983.9,17935.8,17956.1,138.23,27.28,5.85,6.88,-135.55,-83.0,-52.55,24.9,18396.47,17780.18,18462.04,18076.04,18356.88,18637.72,48.1,11.1,27.8,9.2,15,4,9,2.0,0.0,1.0
2022-09-26 09:15:00,17723.2,17816.4,17511.2,17548.1,160.14,19.18,5.77,5.43,-181.95,-103.53,-78.43,27.45,18363.2,17777.86,18412.12,17941.01,18279.85,18618.68,305.2,175.1,93.2,36.9,9,0,9,2.0,0.0,8.0
2022-09-26 11:15:00,17548.9,17738.3,17541.6,17721.8,162.75,28.87,9.12,6.91,-202.38,-99.16,-103.22,29.81,18338.04,17777.31,18372.76,17882.67,18226.7,18570.74,196.7,172.9,16.5,7.3,11,0,9,2.0,0.0,5.0
2022-09-26 13:15:00,17720.5,17731.7,17530.4,17567.2,165.5,25.89,8.09,7.66,-228.41,-100.16,-128.26,32.04,18307.82,17775.22,18325.9,17814.28,18163.89,18513.5,201.3,153.3,11.2,36.8,13,0,9,2.0,0.0,6.0
2022-09-26 15:15:00,17565.9,17588.8,17557.4,17586.6,155.92,26.91,9.22,8.81,-244.66,-93.12,-151.54,34.1,18279.53,17773.34,18279.41,17786.62,18108.91,18431.21,31.4,20.7,2.2,8.5,15,0,9,2.0,0.0,5.0
2022-09-27 09:15:00,17636.9,17737.2,17444.2,17446.2,165.72,24.31,3.71,7.01,-265.8,-91.41,-174.39,34.7,18246.85,17770.09,18214.16,17698.38,18045.8,18393.2,293.0,190.7,100.3,2.0,9,1,9,2.0,0.0,9.0
2022-09-27 11:15:00,17446.5,17589.1,17446.2,17555.6,164.09,29.99,5.42,6.12,-270.6,-76.97,-193.63,35.26,18219.75,17767.95,18150.64,17657.57,17999.11,18340.65,142.9,109.1,33.5,0.3,11,1,9,2.0,0.0,3.0
2022-09-27 13:15:00,17556.2,17592.2,17361.3,17412.2,168.86,27.12,4.77,4.63,-282.72,-71.27,-211.45,36.07,18188.08,17764.41,18084.2,17590.22,17943.22,18296.21,230.9,144.0,36.0,50.9,13,1,9,2.0,0.0,10.0
2022-09-27 15:15:00,17413.2,17485.8,17413.2,17485.4,162.05,30.76,8.24,6.14,-283.16,-57.37,-225.79,36.82,18160.52,17761.64,18022.1,17566.22,17899.61,18233.01,72.6,72.2,0.4,0.0,15,1,9,2.0,0.0,4.0
2022-09-28 09:15:00,17301.1,17392.3,17201.9,17324.8,170.73,27.51,8.35,7.12,-293.08,-53.83,-239.25,38.17,18127.75,17757.29,17953.58,17489.22,17844.87,18200.51,190.4,23.7,67.5,99.2,9,2,9,4.0,0.0,16.0
