datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,cci_20,hour,day_of_week,month
2022-05-24 10:30:00,34284.1,34394.9,34261.1,34353.8,128.42,46.87,28.05,27.2,-42.28,-30.53,-11.75,29.52,34338.37,34210.89,34479.64,34140.92,34404.8,34668.69,133.8,69.7,41.1,23.0,-55.54,10,1,5
2022-05-24 10:45:00,34352.1,34391.7,34311.6,34355.5,124.97,46.98,32.02,28.25,-39.98,-22.58,-17.4,27.81,34339.04,34212.33,34459.3,34146.1,34400.11,34654.12,80.1,3.4,36.2,40.5,-45.33,10,1,5
2022-05-24 11:00:00,34356.1,34379.7,34296.4,34297.4,121.99,43.77,36.33,32.13,-42.36,-19.97,-22.39,26.36,34337.4,34213.18,34436.9,34144.64,34390.33,34636.01,83.3,58.7,23.6,1.0,-52.55,11,1,5
2022-05-24 11:15:00,34295.3,34332.3,34267.1,34297.1,117.94,43.76,41.18,36.51,-43.77,-17.1,-26.67,25.3,34335.82,34214.01,34418.9,34146.74,34381.45,34616.15,65.2,1.8,35.2,28.2,-59.97,11,1,5
2022-05-24 11:30:00,34298.6,34463.9,34276.6,34455.2,122.89,53.71,58.6,45.37,-31.76,-4.07,-27.68,24.0,34340.51,34216.41,34406.08,34140.44,34388.47,34636.5,187.3,156.6,8.7,22.0,-7.7,11,1,5
2022-05-24 11:45:00,34461.6,34529.9,34449.6,34487.7,119.85,55.45,76.25,58.68,-19.39,6.63,-26.03,23.34,34346.28,34219.11,34396.28,34158.22,34397.92,34637.62,80.3,26.1,42.2,12.0,53.44,11,1,5
2022-05-24 12:00:00,34484.4,34484.4,34356.4,34423.7,120.67,51.35,84.91,73.25,-14.59,9.15,-23.74,21.82,34349.32,34221.14,34378.96,34158.5,34400.38,34642.26,128.0,60.7,0.0,67.3,27.02,12,1,5
2022-05-24 12:15:00,34424.1,34489.4,34397.1,34429.6,118.64,51.7,79.98,80.38,-10.19,10.84,-21.03,20.45,34352.46,34223.22,34364.77,34166.74,34403.16,34639.59,92.3,5.5,59.8,27.0,64.03,12,1,5
2022-05-24 12:30:00,34431.9,34486.9,34389.4,34473.4,117.13,54.37,78.83,81.24,-3.13,14.32,-17.45,19.1,34357.21,34225.71,34358.15,34177.37,34409.85,34642.33,97.5,41.5,13.5,42.5,97.15,12,1,5
2022-05-24 12:45:00,34474.4,34534.6,34453.4,34496.6,114.56,55.76,83.36,80.72,4.28,17.39,-13.1,18.31,34362.67,34228.4,34363.34,34192.3,34418.11,34643.92,81.2,22.2,38.0,21.0,140.02,12,1,5
