datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,hour,day_of_week,month,Signal,candles_to_profit,candles_to_loss
2022-11-17 09:15:00,18358.7,18417.6,18351.7,18360.3,67.43,60.46,68.91,78.48,77.84,-4.85,82.69,37.66,18145.86,17678.22,18308.98,18187.81,18318.99,18450.18,65.9,1.6,57.3,7.0,9,3,11,2.0,0.0,4.0
2022-11-17 11:15:00,18361.2,18398.7,18350.3,18391.3,66.07,63.39,64.59,71.19,74.34,-6.68,81.02,36.24,18155.48,17685.31,18328.82,18197.97,18325.88,18453.79,48.4,30.1,7.4,10.9,11,3,11,2.0,0.0,3.0
2022-11-17 13:15:00,18390.5,18409.1,18320.4,18323.2,67.69,53.93,47.61,60.37,65.32,-12.56,77.88,34.35,18162.06,17691.66,18343.6,18193.0,18325.62,18458.25,88.7,67.3,18.6,2.8,13,3,11,2.0,0.0,6.0
2022-11-17 15:15:00,18323.8,18341.7,18312.9,18333.9,64.91,55.07,42.11,51.44,58.37,-15.61,73.98,32.46,18168.8,17698.05,18358.46,18200.93,18326.41,18451.89,28.8,10.1,7.8,10.9,15,3,11,2.0,0.0,5.0
2022-11-18 09:15:00,18382.9,18394.6,18220.9,18226.7,72.68,43.51,20.25,36.66,43.7,-24.22,67.92,31.05,18171.07,17703.31,18354.3,18170.3,18316.92,18463.53,173.7,156.2,11.7,5.8,9,4,11,4.0,0.0,16.0
2022-11-18 11:15:00,18225.2,18261.7,18225.2,18254.8,70.1,46.67,16.78,26.38,33.95,-27.18,61.13,29.74,18174.35,17708.8,18350.79,18171.4,18311.0,18450.6,36.5,29.6,6.9,0.0,11,4,11,4.0,0.0,16.0
2022-11-18 13:15:00,18254.2,18327.3,18209.8,18322.6,73.48,53.44,22.16,19.73,31.33,-23.83,55.17,27.81,18180.17,17714.91,18349.45,18163.42,18312.1,18460.79,117.5,68.4,4.7,44.4,13,4,11,2.0,0.0,2.0
2022-11-18 15:15:00,18323.8,18326.4,18295.2,18304.3,70.46,51.54,34.84,24.59,27.47,-22.16,49.63,26.01,18185.03,17720.77,18346.9,18170.89,18311.36,18451.83,31.2,19.5,2.6,9.1,15,4,11,2.0,0.0,1.0
2022-11-21 09:15:00,18246.4,18262.3,18146.8,18177.7,76.68,40.74,33.22,30.07,14.03,-28.48,42.51,25.9,18184.75,17725.32,18338.49,18141.54,18298.63,18455.72,115.5,68.7,15.9,30.9,9,0,11,4.0,0.0,12.0
2022-11-21 11:15:00,18177.2,18187.9,18145.2,18150.2,74.25,38.84,17.6,28.55,1.14,-33.09,34.23,25.81,18183.39,17729.54,18329.37,18134.23,18284.49,18434.76,42.7,27.0,10.7,5.0,11,0,11,4.0,0.0,7.0
