datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,cci_20,hour,day_of_week,month
2022-08-22 09:15:00,44251.1,44335.2,43974.4,44061.6,213.48,22.81,10.95,16.55,-121.93,-122.9,0.97,39.47,44803.96,43402.49,45056.23,44437.39,44901.74,45366.1,360.8,189.5,84.1,87.2,-229.39,9,0,8
2022-08-22 10:00:00,44074.0,44084.4,43909.6,43915.9,210.72,20.88,4.56,10.84,-183.25,-147.37,-35.87,40.74,44769.14,43407.6,44996.56,44354.43,44807.85,45261.28,174.8,158.1,10.4,6.3,-205.43,10,0,8
2022-08-22 10:45:00,43915.0,43994.8,43891.9,43955.1,203.02,22.77,3.13,6.22,-226.07,-152.16,-73.91,41.95,44737.21,43413.04,44926.6,44296.8,44726.64,45156.48,102.9,40.1,39.7,23.1,-172.6,10,0,8
2022-08-22 11:30:00,43939.9,44023.7,43930.3,43987.9,195.19,24.4,3.22,3.64,-254.43,-144.41,-110.01,42.87,44707.82,43418.76,44860.32,44249.59,44656.28,45062.98,93.4,48.0,35.8,9.6,-144.29,11,0,8
2022-08-22 12:15:00,43991.1,44083.2,43900.9,43913.2,194.27,23.2,3.51,3.29,-279.7,-135.75,-143.95,43.32,44676.66,43423.68,44796.4,44182.83,44585.51,44988.2,182.3,77.9,92.1,12.3,-127.82,12,0,8
2022-08-22 13:00:00,43914.1,43957.0,43833.0,43887.2,189.25,22.78,3.39,3.37,-298.39,-123.55,-174.84,43.89,44645.7,43428.3,44734.25,44131.06,44519.01,44906.96,124.0,26.9,42.9,54.2,-120.75,13,0,8
2022-08-22 13:45:00,43884.3,43977.3,43849.1,43966.9,184.89,27.13,4.37,3.75,-303.28,-102.75,-200.53,44.28,44619.08,43433.66,44674.01,44091.0,44466.42,44841.85,128.2,82.6,10.4,35.2,-100.67,13,0,8
2022-08-22 14:30:00,43975.8,43979.4,43830.7,43923.1,182.3,26.26,6.64,4.8,-307.14,-85.29,-221.85,44.68,44591.8,43438.52,44610.42,44046.69,44414.68,44782.67,148.7,52.7,3.6,92.4,-90.2,14,0,8
2022-08-22 15:15:00,43937.2,43967.4,43893.4,43941.1,174.57,27.3,8.84,6.62,-305.24,-66.71,-238.53,45.05,44566.28,43443.52,44542.34,44022.54,44369.58,44716.62,74.0,3.9,26.3,43.8,-77.54,15,0,8
2022-08-23 09:15:00,43437.5,44188.8,43402.1,44166.1,218.29,38.89,22.53,12.67,-282.31,-35.03,-247.28,46.45,44550.58,43450.72,44477.23,43886.36,44350.2,44814.04,786.7,728.6,22.7,35.4,-71.57,9,1,8
2022-08-23 10:00:00,44169.4,44229.4,43845.5,43917.2,230.12,32.68,31.71,21.02,-280.99,-26.97,-254.03,47.45,44525.74,43455.36,44398.0,43816.17,44308.96,44801.74,383.9,252.2,60.0,71.7,-55.67,10,1,8
2022-08-23 10:45:00,43920.6,43970.0,43788.8,43907.2,226.63,32.46,40.04,31.42,-277.55,-18.82,-258.73,48.48,44501.48,43459.85,44323.55,43790.33,44270.7,44751.06,181.2,13.4,49.4,118.4,-65.45,10,1,8
