open,high,low,close,volume,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
45179.1,45180.1,45129.1,45133.0,0,1695275100,45159.76,45134.93,45141.48,45257.56,45374.95,45754.0,45152.79,45147.61,45164.73,45251.22,45402.98,45592.97,-32.04,-44.56,12.52,44.17,43.06,73.86,72.77,-49.42,6.08,27.64,23.01,30.44,20.4,0.05,-0.01,54.21,45223.62,45141.48,45059.34,0.36,44.84,-1.23,0.03,-1,-0.1,0.1,0.11,0.1,0.0,0.01,1,-1,-0.02,-0.07,0.08,0.09
45134.3,45150.0,45097.7,45134.2,0,1695275400,45161.48,45135.82,45138.46,45253.14,45369.72,45748.91,45146.6,45145.17,45161.82,45246.63,45397.66,45588.4,-30.83,-41.81,10.98,44.32,43.17,56.61,69.13,-56.36,-27.97,27.13,21.42,32.49,8.9,0.02,-0.01,54.07,45216.91,45138.46,45060.0,0.35,47.29,-0.5,0.01,-1,0.0,0.0,0.12,0.0,0.03,0.08,1,-1,-0.01,-0.06,0.08,0.09
45136.2,45160.4,45129.4,45151.3,0,1695275700,45162.28,45138.42,45137.15,45248.96,45364.46,45743.97,45148.16,45146.29,45160.82,45242.89,45392.78,45584.05,-28.17,-39.09,10.91,46.58,44.68,49.58,60.02,-45.48,21.22,26.43,21.93,31.12,26.0,0.06,-0.01,52.42,45213.82,45137.15,45060.48,0.34,59.23,0.3,0.0,1,0.04,0.04,0.07,0.03,0.02,0.02,1,-1,0.03,-0.02,0.08,0.09
45151.6,45179.4,45143.2,45156.4,0,1695276000,45150.68,45143.8,45135.46,45245.37,45359.22,45739.27,45150.91,45148.13,45160.4,45239.5,45388.1,45579.8,-25.36,-36.34,10.98,47.27,45.13,51.97,52.72,-42.24,56.2,25.36,23.47,29.55,53.8,0.12,-0.01,51.26,45208.77,45135.46,45062.14,0.32,64.28,1.42,0.05,1,0.01,0.01,0.08,0.01,0.05,0.02,1,-1,0.05,-0.01,0.08,0.08
45152.7,45165.1,45075.1,45082.6,0,1695276300,45131.5,45142.07,45129.39,45240.33,45353.17,45734.16,45128.14,45136.21,45152.99,45233.34,45382.05,45574.85,-28.76,-34.82,6.07,39.37,40.1,41.03,47.53,-89.19,-67.96,25.39,20.68,35.03,-17.3,-0.04,-0.01,54.03,45199.03,45129.39,45059.75,0.31,16.41,1.74,0.08,1,-0.16,0.16,0.2,0.16,0.03,0.02,1,-1,-0.1,-0.16,0.08,0.08
45080.8,45091.4,45066.8,45083.3,0,1695276600,45121.56,45140.66,45126.31,45235.49,45346.85,45729.0,45113.19,45126.59,45146.35,45227.46,45376.13,45569.96,-31.03,-34.07,3.03,39.48,40.17,26.61,39.87,-88.74,-130.0,25.52,19.98,34.99,-14.1,-0.03,-0.01,51.93,45198.34,45126.31,45054.28,0.32,20.15,1.33,0.05,1,0.0,0.0,0.05,0.01,0.02,0.03,-1,-1,-0.1,-0.14,0.09,0.08
45084.4,45107.8,45070.6,45081.1,0,1695276900,45110.94,45136.21,45127.47,45231.19,45340.67,45723.83,45102.5,45118.32,45140.14,45221.72,45370.29,45565.1,-32.64,-33.78,1.14,39.25,40.02,10.64,26.1,-90.14,-110.69,25.27,21.24,33.16,-44.5,-0.1,-0.01,50.88,45195.71,45127.47,45059.23,0.3,16.02,-0.4,0.0,-1,-0.0,0.0,0.08,0.01,0.05,0.02,-1,-1,-0.1,-0.13,0.1,0.08
45081.1,45096.4,45074.8,45084.7,0,1695277200,45097.62,45129.95,45127.02,45226.3,45334.7,45718.52,45096.56,45112.21,45134.86,45216.35,45364.63,45560.32,-33.24,-33.67,0.43,39.86,40.4,11.09,16.12,-87.85,-114.9,25.03,20.57,32.11,-62.6,-0.14,-0.01,48.79,45196.26,45127.02,45057.77,0.31,19.44,-1.54,0.07,-1,0.01,0.01,0.05,0.01,0.03,0.01,-1,-1,-0.09,-0.11,0.1,0.08
45082.3,45117.1,45055.1,45112.1,0,1695277500,45088.76,45119.72,45125.54,45221.95,45328.86,45713.28,45101.74,45112.19,45132.69,45212.26,45359.63,45555.86,-31.14,-33.17,2.02,44.41,43.22,18.67,13.47,-66.01,-80.23,24.3,21.71,29.25,-102.3,-0.23,-0.01,49.73,45194.74,45125.54,45056.35,0.31,40.29,-1.52,0.06,-1,0.06,0.06,0.14,0.07,0.01,0.06,-1,-1,-0.03,-0.05,0.08,0.08
45110.4,45115.1,44990.9,44991.1,0,1695277800,45070.46,45100.98,45116.94,45214.9,45321.83,45707.32,45064.86,45090.17,45119.21,45203.59,45352.34,45550.24,-38.8,-34.29,-4.51,32.65,35.43,15.41,15.05,-99.91,-203.17,24.61,18.21,32.87,-187.4,-0.41,-0.01,55.05,45205.38,45116.94,45028.49,0.39,-21.14,-2.85,0.14,-1,-0.27,0.27,0.28,0.27,0.01,0.0,-1,-1,-0.28,-0.28,0.11,0.1
44997.4,45014.7,44901.4,44919.5,0,1695278100,45037.7,45079.63,45107.28,45205.76,45314.73,45700.93,45016.41,45059.14,45100.19,45192.45,45343.77,45543.96,-50.07,-37.45,-12.62,27.94,31.87,13.24,15.77,-94.37,-299.47,25.91,15.72,39.17,-213.5,-0.47,-0.01,59.21,45230.74,45107.28,44983.82,0.55,-26.05,-5.74,0.29,-1,-0.16,0.16,0.25,0.17,0.04,0.04,-1,-1,-0.42,-0.4,0.16,0.14
44918.4,44942.5,44910.8,44923.6,0,1695278400,45006.2,45058.57,45097.2,45196.28,45308.3,45694.5,44985.47,45034.5,45083.37,45181.9,45335.45,45537.79,-58.0,-41.56,-16.44,28.57,32.28,4.21,10.95,-93.09,-251.29,27.11,15.1,37.62,-210.6,-0.47,-0.01,57.25,45243.88,45097.2,44950.51,0.65,-9.17,-8.08,0.4,-1,0.01,0.01,0.07,0.01,0.04,0.02,-1,-1,-0.38,-0.35,0.19,0.17
44917.5,44935.4,44809.8,44815.4,0,1695278700,44952.34,45024.98,45081.7,45185.61,45300.81,45687.61,44928.78,44994.66,45057.85,45167.53,45325.15,45530.6,-72.18,-47.68,-24.5,22.85,27.66,4.63,7.36,-98.64,-258.84,29.06,12.92,43.8,-335.9,-0.74,-0.01,62.13,45272.17,45081.7,44891.23,0.85,-19.9,-11.66,0.5,-1,-0.24,0.24,0.28,0.23,0.04,0.01,-1,-1,-0.59,-0.54,0.24,0.22
