datetime_readable,open,high,low,close,volume,datetime_epoch,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
2025-07-21 10:09:00,56693.4,56750.0,56683.55,56735.65,0,1753072740,56693.48,56700.59,56691.46,56669.76,56577.04,56597.55,56416.25,56474.94,56358.64,56410.92,56339.84,56435.71,92.55,87.79,4.77,74.04,70.42,89.43,87.27,-4.56,88.1,38.61,43.12,14.53,56.75,0.1,0.01,51.77,56857.56,56577.04,56296.52,0.99,78.27,56750.0,56296.05,0.03,0.77,22.2,0.83,1,0,0,0,0,0.08,0.08,0.12,0.07,0.03,0.02,0.01,0.0,1,1,0.28,0.24,0.04,0.25
2025-07-21 10:11:00,56738.6,56761.5,56729.8,56749.25,0,1753072860,56710.56,56716.81,56697.94,56684.21,56598.56,56611.99,56425.67,56485.7,56363.41,56417.62,56341.15,56438.83,93.23,88.87,4.35,74.96,71.1,91.89,89.3,-4.21,129.73,39.5,42.81,13.87,64.75,0.11,0.01,50.34,56862.1,56598.56,56335.01,0.93,78.59,56761.5,56296.05,0.02,0.8,20.59,0.81,1,0,0,0,0,0.02,0.02,0.06,0.02,0.02,0.02,0.01,0.0,1,1,0.27,0.24,0.05,0.24
2025-07-21 10:13:00,56747.1,56748.9,56696.1,56720.6,0,1753072980,56717.34,56718.07,56700.82,56690.83,56617.77,56622.34,56434.42,56494.91,56368.04,56423.62,56342.29,56441.64,90.4,89.18,1.22,69.39,67.65,90.9,90.74,-18.54,86.98,39.42,39.59,17.59,28.8,0.05,0.01,50.54,56856.94,56617.77,56378.59,0.84,71.5,56761.5,56331.15,0.07,0.69,18.19,0.77,1,0,0,0,0,-0.05,0.05,0.09,0.05,0.0,0.04,0.0,0.0,1,1,0.18,0.17,0.05,0.22
2025-07-21 10:15:00,56725.2,56740.85,56693.2,56716.25,0,1753073100,56721.91,56717.46,56701.86,56695.45,56633.92,56631.28,56443.03,56503.59,56372.53,56429.41,56343.3,56444.37,86.82,88.71,-1.89,68.56,67.13,82.75,88.51,-28.99,64.06,39.28,36.92,16.82,10.4,0.02,0.01,50.33,56853.06,56633.92,56414.77,0.77,68.79,56761.5,56356.8,0.08,0.63,16.05,0.71,1,0,0,0,0,-0.01,0.01,0.08,0.02,0.03,0.04,0.01,0.0,1,1,0.15,0.15,0.05,0.2
2025-07-21 10:17:00,56715.75,56726.9,56695.05,56700.9,0,1753073220,56724.53,56711.94,56701.81,56696.44,56650.49,56637.91,56451.05,56511.33,56376.81,56434.79,56344.14,56446.92,81.79,87.32,-5.53,65.57,65.27,68.22,80.62,-47.81,27.7,39.15,35.2,16.03,-0.45,-0.0,0.01,49.01,56834.45,56650.49,56466.52,0.65,63.7,56761.5,56365.05,0.11,0.59,12.83,0.65,1,0,0,0,0,-0.03,0.03,0.06,0.03,0.02,0.01,0.0,0.0,1,1,0.09,0.11,0.05,0.17
2025-07-21 10:19:00,56703.85,56709.0,56692.7,56698.4,0,1753073340,56717.08,56707.43,56705.28,56696.8,56664.2,56643.67,56459.15,56518.66,56381.08,56440.01,56345.02,56449.42,76.72,85.2,-8.48,65.08,64.97,57.81,69.59,-49.78,-1.21,38.95,34.32,15.99,34.7,0.06,0.01,46.68,56816.82,56664.2,56511.58,0.54,61.2,56761.5,56423.6,0.11,0.48,9.94,0.56,1,0,0,0,0,-0.0,0.0,0.03,0.01,0.01,0.01,0.01,0.0,1,1,0.06,0.1,0.04,0.14
2025-07-21 10:21:00,56696.8,56705.1,56645.8,56646.55,0,1753073460,56696.54,56687.14,56703.55,56687.66,56673.75,56643.95,56466.02,56523.68,56384.94,56444.1,56345.6,56451.38,67.74,81.71,-13.97,55.65,58.93,37.24,54.42,-90.69,-113.05,37.47,31.27,21.61,-17.3,-0.03,0.01,47.58,56793.27,56673.75,56554.24,0.42,38.62,56761.5,56435.0,0.2,0.37,6.4,0.38,1,0,0,0,0,-0.09,0.09,0.1,0.09,0.01,0.0,0.0,0.0,1,1,-0.05,0.0,0.05,0.11
2025-07-21 10:23:00,56648.6,56660.55,56633.0,56636.05,0,1753073580,56679.63,56670.11,56698.48,56678.28,56680.78,56643.19,56472.45,56528.09,56388.74,56447.9,56346.29,56453.22,59.1,77.19,-18.09,53.95,57.79,20.63,38.56,-97.63,-147.97,35.78,29.93,22.67,-50.65,-0.09,0.01,46.15,56770.35,56680.78,56591.2,0.32,25.03,56761.5,56470.65,0.22,0.29,3.05,0.15,1,0,0,0,0,-0.02,0.02,0.05,0.02,0.02,0.01,0.0,0.0,-1,1,-0.08,-0.01,0.06,0.08
2025-07-21 10:25:00,56635.05,56690.85,56633.3,56690.85,0,1753073700,56674.55,56677.02,56698.23,56680.56,56688.1,56647.73,56479.84,56534.47,56392.9,56452.71,56347.31,56455.59,56.02,72.96,-16.93,60.71,61.84,18.9,25.59,-54.98,-57.7,34.75,31.92,20.69,-2.55,-0.0,0.01,46.96,56752.18,56688.1,56624.02,0.23,52.15,56761.5,56540.9,0.12,0.26,1.04,0.03,1,0,0,1,0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,-1,1,0.0,0.08,0.06,0.06
2025-07-21 10:27:00,56687.0,56701.75,56667.1,56667.1,0,1753073820,56667.79,56673.71,56696.16,56678.12,56690.97,56649.58,56487.4,56539.67,56396.96,56456.95,56348.15,56457.69,51.08,68.58,-17.5,56.81,59.25,24.64,21.39,-73.46,-38.09,33.98,31.9,19.58,-20.7,-0.04,0.01,46.08,56745.11,56690.97,56636.84,0.19,27.95,56761.5,56605.4,0.17,0.11,-0.5,0.01,-1,0,0,0,0,-0.04,0.04,0.06,0.04,0.03,0.0,0.0,0.01,-1,1,-0.04,0.03,0.07,0.05
2025-07-21 10:29:00,56667.45,56700.1,56665.3,56698.5,0,1753073940,56667.81,56681.98,56692.44,56681.82,56691.95,56654.24,56495.9,56545.9,56401.2,56461.74,56349.28,56460.09,49.13,64.69,-15.56,60.43,61.49,40.84,28.13,-49.03,-20.39,33.21,30.15,18.78,-37.15,-0.07,0.01,45.28,56745.89,56691.95,56638.02,0.19,56.07,56761.5,56633.0,0.11,0.12,-0.59,0.02,-1,0,0,0,0,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.0,-1,1,0.01,0.08,0.06,0.05
2025-07-21 10:31:00,56697.6,56725.35,56692.15,56724.6,0,1753074060,56683.42,56696.18,56689.98,56689.6,56693.96,56660.94,56504.92,56552.91,56405.84,56466.94,56350.53,56462.72,49.12,61.58,-12.45,63.19,63.25,49.6,38.36,-28.72,52.41,32.94,32.6,17.78,-24.65,-0.04,0.01,44.41,56749.59,56693.96,56638.32,0.2,77.54,56761.5,56633.0,0.07,0.16,-0.24,0.0,-1,0,0,0,0,0.05,0.05,0.06,0.05,0.0,0.01,0.0,0.0,-1,1,0.05,0.11,0.05,0.05
