,datetime,open,high,low,close,volume
4111,1737711960,48385.05,48390.95,48355.3,48364.65,0
4112,1737712020,48363.7,48382.15,48362.1,48377.9,0
4113,1737712080,48378.0,48381.5,48369.1,48375.5,0
4114,1737712140,48376.75,48384.15,48372.65,48382.5,0
4115,1737712200,48382.5,48399.95,48382.5,48392.65,0
4116,1737712260,48392.9,48395.6,48380.4,48383.9,0
4117,1737712320,48384.7,48387.45,48376.85,48376.85,0
4118,1737712380,48377.3,48384.6,48369.1,48374.25,0
4119,1737712440,48371.7,48377.9,48358.35,48359.05,0
4120,1737712500,48359.6,48366.65,48345.55,48349.95,0
4121,1737712560,48348.5,48355.85,48340.15,48354.95,0
4122,1737712620,48355.4,48369.55,48348.1,48363.1,0
4123,1737712680,48357.15,48369.25,48345.6,48355.0,0
4124,1737712740,48355.0,48372.75,48343.3,48349.4,0
4125,1737949500,47881.65,48013.9,47844.15,47940.05,0
4126,1737949560,47940.05,47941.65,47887.25,47938.75,0
4127,1737949620,47931.55,47935.7,47873.55,47879.2,0
4128,1737949680,47882.9,47957.55,47881.8,47948.45,0
4129,1737949740,47949.15,47963.7,47910.9,47924.9,0
4130,1737949800,47924.3,47960.3,47911.75,47937.65,0
4131,1737949860,47935.4,47974.65,47928.9,47969.3,0
4132,1737949920,47972.7,47999.05,47938.3,47948.05,0
4133,1737949980,47947.05,47990.55,47946.55,47990.55,0
4134,1737950040,47987.3,48003.45,47949.5,47999.35,0
4135,1737950100,47999.35,48045.65,47979.45,48037.6,0
4136,1737950160,48046.95,48057.05,48006.75,48016.2,0
4137,1737950220,48024.2,48045.25,48018.0,48029.15,0
4138,1737950280,48023.3,48025.35,47982.9,48004.8,0
4139,1737950340,48004.4,48012.75,47964.9,47979.3,0
4140,1737950400,47980.55,47998.65,47952.15,47967.9,0
4141,1737950460,47973.35,47977.95,47936.7,47946.2,0
4142,1737950520,47950.9,47964.45,47919.1,47935.0,0
4143,1737950580,47933.25,47953.75,47918.8,47942.2,0
4144,1737950640,47939.05,48009.6,47939.05,47976.4,0
4145,1737950700,47974.55,48048.85,47974.55,48043.65,0
4146,1737950760,48048.3,48052.3,48000.1,48000.1,0
4147,1737950820,48000.5,48047.95,47992.65,48031.3,0
4148,1737950880,48032.7,48032.95,48007.3,48021.3,0
4149,1737950940,48022.85,48082.3,48019.2,48065.8,0
4150,1737951000,48069.2,48073.05,47996.6,47997.45,0
4151,1737951060,48003.7,48039.25,47998.95,48019.1,0
4152,1737951120,48016.0,48016.0,47963.25,47984.15,0
4153,1737951180,47984.15,48156.8,47984.15,48139.55,0
4154,1737951240,48149.5,48179.8,48136.1,48149.7,0
4155,1737951300,48154.55,48175.95,48112.25,48120.1,0
4156,1737951360,48120.1,48147.55,48104.3,48118.45,0
4157,1737951420,48124.4,48198.25,48124.4,48177.8,0
4158,1737951480,48184.55,48192.55,48137.1,48176.5,0
4159,1737951540,48173.85,48174.15,48136.4,48153.6,0
4160,1737951600,48156.9,48203.6,48155.8,48170.35,0
4161,1737951660,48173.45,48197.7,48149.25,48152.15,0
4162,1737951720,48156.2,48175.4,48143.1,48147.25,0
4163,1737951780,48145.7,48168.95,48126.45,48126.6,0
4164,1737951840,48122.75,48135.4,48106.0,48118.15,0
4165,1737951900,48113.15,48131.7,48106.35,48114.3,0
4166,1737951960,48119.0,48135.65,48104.5,48104.5,0
4167,1737952020,48104.0,48130.65,48085.6,48115.8,0
4168,1737952080,48111.0,48115.05,48085.4,48107.1,0
4169,1737952140,48110.45,48117.85,48095.2,48108.35,0
4170,1737952200,48109.5,48146.25,48101.1,48139.45,0
4171,1737952260,48153.35,48196.85,48145.7,48150.1,0
4172,1737952320,48143.4,48180.45,48116.8,48175.95,0
4173,1737952380,48182.3,48191.2,48163.9,48169.35,0
4174,1737952440,48168.55,48195.2,48155.35,48166.85,0
4175,1737952500,48166.75,48207.0,48166.75,48200.1,0
4176,1737952560,48208.35,48248.75,48203.45,48216.15,0
4177,1737952620,48219.1,48226.15,48188.15,48210.15,0
4178,1737952680,48208.45,48209.9,48173.6,48182.5,0
4179,1737952740,48174.3,48197.45,48160.55,48169.9,0
4180,1737952800,48177.05,48192.2,48159.35,48168.0,0
4181,1737952860,48170.55,48183.15,48134.45,48144.9,0
4182,1737952920,48148.45,48170.45,48136.1,48146.2,0
4183,1737952980,48149.45,48157.45,48117.0,48155.1,0
4184,1737953040,48159.45,48170.45,48126.65,48129.2,0
4185,1737953100,48127.45,48132.95,48108.05,48113.7,0
4186,1737953160,48119.85,48148.7,48119.85,48134.25,0
4187,1737953220,48129.35,48129.35,48010.9,48010.9,0
4188,1737953280,48011.65,48026.05,47992.05,48012.7,0
4189,1737953340,48013.1,48014.85,47952.95,47957.9,0
4190,1737953400,47960.0,47995.65,47960.0,47967.2,0
4191,1737953460,47967.25,48011.15,47964.75,47997.2,0
4192,1737953520,47996.85,48028.35,47993.7,48008.3,0
4193,1737953580,48013.75,48027.05,48004.0,48012.1,0
4194,1737953640,48009.4,48024.8,48003.1,48015.85,0
4195,1737953700,48016.3,48027.55,47999.0,48000.45,0
4196,1737953760,48004.7,48020.35,47979.7,47982.4,0
4197,1737953820,47984.55,47992.5,47960.6,47973.0,0
4198,1737953880,47969.05,47988.1,47954.4,47968.3,0
4199,1737953940,47965.7,47971.2,47926.1,47926.9,0
4200,1737954000,47925.65,47945.1,47924.75,47938.05,0
4201,1737954060,47940.35,47976.05,47925.6,47963.15,0
4202,1737954120,47963.55,47991.15,47962.85,47982.4,0
4203,1737954180,47983.65,47993.65,47967.8,47983.55,0
4204,1737954240,47983.35,48017.35,47973.2,47995.8,0
4205,1737954300,47994.25,48008.45,47993.2,48008.2,0
