datetime_readable,open,high,low,close,datetime_epoch,dist_sma_5,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_100,dist_sma_200,dist_ema_5,dist_ema_10,dist_ema_20,dist_ema_50,dist_ema_100,dist_ema_200,macd_pct,macd_signal_pct,macd_hist_pct,rsi_14,rsi_21,adx,di_plus,di_minus,atr_pct,atr,bb_width_pct,bb_position,trend_slope,trend_strength,trend_direction,price_change_pct,price_change_abs,hl_range_pct,body_size_pct,upper_shadow_pct,lower_shadow_pct,volatility_10,volatility_20
2025-11-21 09:50:00,26120.6,26123.95,26109.05,26109.15,1763698800,-0.09,-0.16,-0.25,-0.28,-0.11,0.22,-0.08,-0.14,-0.21,-0.22,-0.1,0.13,-0.07,-0.04,-0.03,30.46,36.07,35.98,11.23,36.05,0.09,23.93,0.49,-0.02,-4.95,0.8,-1,-0.05,0.05,0.06,0.04,0.01,0.0,0.11,0.13
2025-11-21 09:55:00,26109.45,26120.35,26093.45,26119.4,1763699100,-0.02,-0.09,-0.2,-0.24,-0.08,0.26,-0.03,-0.08,-0.16,-0.18,-0.06,0.17,-0.07,-0.04,-0.03,34.74,38.89,37.49,10.33,37.79,0.09,24.14,0.51,0.11,-5.28,0.83,-1,0.04,0.04,0.1,0.04,0.0,0.06,0.1,0.13
2025-11-21 10:00:00,26119.8,26120.7,26092.1,26094.3,1763699400,-0.08,-0.15,-0.27,-0.33,-0.18,0.16,-0.08,-0.15,-0.23,-0.26,-0.15,0.07,-0.09,-0.05,-0.03,29.89,34.93,38.91,9.47,35.03,0.09,24.46,0.54,0.0,-5.62,0.84,-1,-0.1,0.1,0.11,0.1,0.0,0.01,0.08,0.14
2025-11-21 10:05:00,26094.15,26096.95,26084.65,26086.5,1763699700,-0.08,-0.16,-0.28,-0.36,-0.21,0.13,-0.07,-0.15,-0.23,-0.28,-0.18,0.04,-0.09,-0.06,-0.03,28.56,33.81,40.39,9.12,35.98,0.09,23.59,0.59,0.03,-6.26,0.88,-1,-0.03,0.03,0.05,0.03,0.01,0.01,0.1,0.15
2025-11-21 10:10:00,26086.9,26096.5,26080.65,26087.4,1763700000,-0.05,-0.13,-0.25,-0.35,-0.21,0.13,-0.05,-0.12,-0.21,-0.27,-0.17,0.04,-0.1,-0.07,-0.03,28.95,34.06,41.84,8.67,35.45,0.09,23.04,0.61,0.09,-6.52,0.89,-1,0.0,0.0,0.06,0.0,0.03,0.02,0.1,0.16
2025-11-21 10:15:00,26088.0,26088.0,26065.1,26067.3,1763700300,-0.09,-0.17,-0.31,-0.42,-0.28,0.05,-0.08,-0.16,-0.26,-0.33,-0.24,-0.04,-0.11,-0.08,-0.03,25.56,31.22,43.48,8.05,37.76,0.09,23.03,0.66,0.04,-7.14,0.92,-1,-0.08,0.08,0.09,0.08,0.0,0.01,0.11,0.17
2025-11-21 10:20:00,26066.1,26069.9,26055.95,26068.45,1763700600,-0.05,-0.13,-0.27,-0.41,-0.28,0.05,-0.05,-0.13,-0.23,-0.31,-0.23,-0.03,-0.12,-0.09,-0.03,26.09,31.57,45.16,7.69,39.0,0.09,22.38,0.67,0.09,-7.3,0.92,-1,0.0,0.0,0.05,0.01,0.01,0.04,0.1,0.17
2025-11-21 10:25:00,26068.55,26074.8,26061.2,26068.15,1763700900,-0.03,-0.1,-0.25,-0.4,-0.28,0.05,-0.04,-0.1,-0.21,-0.3,-0.23,-0.03,-0.12,-0.09,-0.03,26.04,31.52,46.31,8.96,37.26,0.08,21.75,0.69,0.13,-7.59,0.94,-1,-0.0,0.0,0.05,0.0,0.02,0.03,0.09,0.18
2025-11-21 10:30:00,26068.0,26075.0,26062.45,26069.55,1763701200,-0.01,-0.08,-0.22,-0.39,-0.28,0.05,-0.02,-0.08,-0.18,-0.29,-0.22,-0.03,-0.12,-0.1,-0.02,26.78,31.98,47.36,8.65,35.67,0.08,21.09,0.7,0.18,-7.66,0.95,-1,0.01,0.01,0.05,0.01,0.02,0.02,0.08,0.18
2025-11-21 10:35:00,26067.6,26079.75,26059.95,26076.15,1763701500,0.02,-0.03,-0.18,-0.36,-0.25,0.07,0.0,-0.05,-0.14,-0.25,-0.19,-0.0,-0.12,-0.1,-0.02,30.32,34.14,47.9,9.68,33.27,0.08,21.0,0.66,0.24,-7.23,0.92,-1,0.03,0.03,0.08,0.03,0.01,0.03,0.07,0.17
2025-11-21 10:40:00,26075.55,26076.65,26068.8,26071.55,1763701800,0.0,-0.04,-0.17,-0.37,-0.27,0.05,-0.01,-0.05,-0.15,-0.26,-0.21,-0.02,-0.12,-0.11,-0.01,29.26,33.36,48.4,9.41,32.34,0.08,20.06,0.64,0.23,-6.85,0.9,-1,-0.02,0.02,0.03,0.02,0.0,0.01,0.06,0.16
2025-11-21 10:45:00,26071.85,26077.0,26064.25,26075.75,1763702100,0.01,-0.0,-0.13,-0.34,-0.25,0.07,0.0,-0.03,-0.12,-0.23,-0.19,-0.0,-0.11,-0.11,-0.01,31.61,34.79,49.0,8.97,32.5,0.07,19.54,0.58,0.28,-6.16,0.87,-1,0.02,0.02,0.05,0.01,0.0,0.03,0.04,0.15
2025-11-21 10:50:00,26075.7,26078.25,26061.1,26069.2,1763702400,-0.01,-0.02,-0.13,-0.36,-0.28,0.04,-0.01,-0.04,-0.13,-0.25,-0.21,-0.03,-0.11,-0.11,-0.0,29.94,33.61,49.64,8.4,31.6,0.07,19.37,0.51,0.24,-5.36,0.86,-1,-0.03,0.03,0.07,0.02,0.01,0.03,0.03,0.13
