,datetime_readable,open,high,low,close,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
22,2025-10-28 05:30:00,25939.95,26041.7,25810.05,25936.2,1761609600,25891.48,25706.48,25348.39,25091.23,25057.09,24292.3,25867.32,25719.33,25495.93,25207.63,24952.82,24390.34,256.74,193.85,62.89,70.03,65.8,82.26,83.03,-15.33,102.34,27.01,33.98,14.36,708.85,2.81,0.12,201.83,26215.03,25348.39,24481.76,6.84,83.91,73.02,0.94,1,-0.11,0.11,0.89,0.01,0.39,0.49,1,1,2.32,1.73,1.07,1.75
23,2025-10-29 05:30:00,25982.0,26097.85,25960.3,26053.9,1761696000,25928.54,25797.32,25419.34,25119.68,25070.12,24304.13,25929.51,25780.16,25549.07,25240.82,24974.62,24406.89,268.77,208.83,59.93,72.43,67.6,89.13,84.51,-4.66,106.91,28.16,34.03,13.52,908.4,3.61,0.13,198.96,26272.95,25419.34,24565.74,6.72,87.17,71.83,0.94,1,0.45,0.45,0.53,0.28,0.17,0.08,1,1,2.5,1.98,0.82,1.72
24,2025-10-30 05:30:00,25984.4,26032.05,25845.25,25877.85,1761782400,25925.83,25852.74,25482.68,25139.7,25078.87,24315.88,25912.29,25797.92,25580.38,25265.8,24992.51,24421.53,261.08,219.28,41.8,64.14,62.44,86.11,85.83,-21.69,78.41,28.36,31.49,16.63,554.3,2.19,0.14,199.65,26272.62,25482.68,24692.75,6.2,75.01,65.62,0.92,1,-0.68,0.68,0.72,0.41,0.18,0.13,1,1,1.55,1.16,0.51,1.59
25,2025-10-31 05:30:00,25863.8,25953.75,25711.2,25722.1,1761868800,25911.22,25866.42,25526.97,25154.53,25085.06,24327.34,25848.89,25784.14,25593.88,25283.69,25006.95,24434.47,239.66,223.36,16.3,57.84,58.31,79.01,84.75,-36.61,51.11,27.63,28.79,19.93,136.8,0.53,0.14,202.72,26264.57,25526.97,24789.37,5.78,63.23,58.83,0.85,1,-0.6,0.6,0.94,0.55,0.35,0.04,1,1,0.76,0.5,0.41,1.48
26,2025-11-03 05:30:00,25696.85,25803.1,25645.5,25763.35,1762128000,25870.68,25871.78,25570.43,25168.79,25091.65,24340.72,25820.38,25780.36,25610.02,25302.5,25021.93,24447.69,223.43,223.37,0.06,58.99,59.06,69.68,78.27,-32.66,34.57,26.55,27.17,21.16,53.5,0.21,0.14,199.5,26254.24,25570.43,24886.61,5.35,64.11,52.22,0.78,1,0.16,0.16,0.61,0.26,0.15,0.2,1,1,0.75,0.6,0.38,1.37
27,2025-11-04 05:30:00,25744.75,25787.4,25578.4,25597.65,1762214400,25802.97,25847.22,25596.43,25179.06,25096.21,24352.83,25746.14,25747.14,25608.84,25314.08,25033.33,24459.14,194.96,217.69,-22.73,52.76,54.88,59.04,69.24,-53.61,12.37,25.13,25.14,21.98,-245.5,-0.95,0.14,200.17,26241.78,25596.43,24951.07,5.04,50.09,44.83,0.64,1,-0.64,0.64,0.82,0.57,0.17,0.08,1,1,0.0,-0.04,0.51,1.29
28,2025-11-06 05:30:00,25593.35,25679.15,25491.55,25509.7,1762387200,25694.13,25811.34,25616.5,25191.86,25102.43,24364.31,25667.32,25703.97,25599.4,25321.75,25042.76,24469.59,163.41,206.83,-43.42,49.76,52.8,44.0,57.57,-81.74,-14.72,23.36,23.45,23.61,-358.9,-1.39,0.13,199.28,26223.72,25616.5,25009.27,4.74,41.21,35.88,0.46,1,-0.34,0.34,0.74,0.33,0.34,0.07,1,1,-0.42,-0.35,0.65,1.22
29,2025-11-07 05:30:00,25433.8,25551.25,25318.45,25492.3,1762473600,25617.02,25771.42,25638.8,25202.35,25110.16,24375.22,25608.98,25665.48,25589.2,25328.44,25051.67,24479.77,135.44,192.56,-57.11,49.16,52.38,28.93,43.99,-77.87,-49.22,22.6,21.52,27.8,-399.1,-1.54,0.12,201.67,26190.85,25638.8,25086.76,4.31,36.73,25.1,0.28,1,-0.07,0.07,0.91,0.23,0.23,0.45,-1,1,-0.57,-0.38,0.75,1.1
30,2025-11-10 05:30:00,25503.5,25653.45,25503.5,25574.35,1762732800,25587.47,25749.34,25658.43,25219.59,25116.44,24387.07,25597.44,25648.91,25587.79,25338.08,25062.02,24490.66,118.53,177.75,-59.22,52.08,54.16,24.32,32.41,-67.43,-24.92,21.31,23.95,26.19,-220.8,-0.86,0.11,198.78,26170.56,25658.43,25146.3,3.99,41.79,16.97,0.15,1,0.32,0.32,0.59,0.28,0.31,0.0,-1,1,-0.33,-0.05,0.79,1.02
31,2025-11-11 05:30:00,25617.0,25715.8,25449.25,25694.95,1762819200,25573.79,25722.23,25678.91,25243.48,25124.86,24398.82,25629.94,25657.28,25597.99,25352.08,25074.55,24502.64,113.55,164.91,-51.36,56.07,56.66,34.2,29.15,-52.08,-19.16,19.81,23.89,23.74,-271.1,-1.04,0.1,203.62,26161.64,25678.91,25196.18,3.76,51.66,11.6,0.08,1,0.47,0.47,1.04,0.3,0.08,0.65,-1,1,0.06,0.38,0.73,0.96
32,2025-11-12 05:30:00,25834.3,25934.55,25781.15,25875.8,1762905600,25629.42,25716.2,25711.34,25272.45,25135.5,24413.08,25711.89,25697.01,25624.45,25372.61,25090.42,24516.3,122.79,156.49,-33.7,61.27,60.08,50.47,36.33,-29.07,53.75,19.47,29.49,21.77,-60.4,-0.23,0.09,206.19,26153.82,25711.34,25268.85,3.44,68.58,7.28,0.04,1,0.7,0.7,0.59,0.16,0.23,0.21,-1,1,0.64,0.98,0.7,0.88
33,2025-11-13 05:30:00,25906.1,26010.7,25808.4,25879.15,1762992000,25703.31,25698.72,25748.02,25297.54,25146.36,24426.7,25767.65,25730.13,25648.71,25392.48,25106.03,24529.86,128.89,150.97,-22.08,61.36,60.14,63.6,49.42,-28.06,61.19,19.47,30.06,20.24,-174.75,-0.67,0.09,205.91,26111.35,25748.02,25384.68,2.82,68.05,0.74,0.0,1,0.01,0.01,0.78,0.1,0.4,0.27,-1,1,0.51,0.9,0.59,0.72
34,2025-11-14 05:30:00,25767.9,25940.2,25740.8,25910.05,1763078400,25786.86,25701.94,25777.34,25324.14,25154.33,24440.22,25815.11,25762.84,25673.6,25412.77,25121.96,24543.6,134.66,147.71,-13.04,62.24,60.72,72.93,62.33,-24.1,40.77,19.07,27.98,21.19,32.2,0.12,0.09,205.44,26090.05,25777.34,25464.63,2.43,71.22,-3.64,0.02,-1,0.12,0.12,0.77,0.55,0.12,0.1,1,1,0.51,0.92,0.6,0.62
35,2025-11-17 05:30:00,25948.2,26024.2,25906.35,26013.45,1763337600,25874.68,25731.08,25798.75,25350.11,25164.75,24454.83,25881.23,25808.41,25705.96,25436.33,25139.61,24558.22,145.9,147.35,-1.44,65.12,62.64,79.01,71.84,-10.83,90.98,19.06,29.81,20.29,291.35,1.13,0.09,199.19,26114.55,25798.75,25482.95,2.45,83.99,-3.3,0.01,-1,0.4,0.4,0.45,0.25,0.04,0.16,1,1,0.83,1.2,0.72,0.63
