entry_time,exit_time,position,entry_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2025-03-27 10:00:00,2025-03-27 10:10:00,BUY,25023.85,25031.54,25020.0,65,7.69,450.0,1,TARGET,90.0,74300.0
2025-03-27 10:20:00,2025-03-27 10:30:00,BUY,25034.8,25042.49,25030.95,65,7.69,450.0,1,TARGET,90.0,74750.0
2025-03-27 13:45:00,2025-03-27 13:55:00,BUY,25086.0,25093.69,25082.15,65,-3.85,-300.0,1,STOP_LOSS,90.0,74450.0
2025-03-27 13:55:00,2025-03-27 14:05:00,BUY,25086.3,25093.99,25082.45,65,7.69,450.0,1,TARGET,90.0,74900.0
2025-03-28 14:50:00,2025-03-28 15:00:00,BUY,25181.35,25189.04,25177.5,65,-3.85,-300.0,1,STOP_LOSS,88.4,74600.0
2025-04-01 09:50:00,2025-04-01 10:00:00,SELL,24982.45,24974.76,24986.3,65,7.69,450.0,1,TARGET,90.0,75050.0
2025-04-01 10:00:00,2025-04-01 10:10:00,SELL,24924.3,24916.61,24928.15,65,7.69,450.0,1,TARGET,90.0,75500.0
2025-04-01 10:10:00,2025-04-01 10:20:00,SELL,24861.6,24853.91,24865.45,65,7.69,450.0,1,TARGET,90.0,75950.0
2025-04-01 10:45:00,2025-04-01 10:55:00,SELL,24699.85,24692.16,24703.7,65,7.69,450.0,1,TARGET,90.0,76400.0
2025-04-01 11:00:00,2025-04-01 11:10:00,SELL,24583.35,24575.66,24587.2,65,7.69,450.0,1,TARGET,76.4,76850.0
2025-04-01 11:25:00,2025-04-01 11:35:00,SELL,24603.85,24596.16,24607.7,65,7.69,450.0,1,TARGET,90.0,77300.0
2025-04-01 11:35:00,2025-04-01 11:45:00,SELL,24555.2,24547.51,24559.05,65,7.69,450.0,1,TARGET,84.6,77750.0
2025-04-01 11:50:00,2025-04-01 12:00:00,SELL,24547.25,24539.56,24551.1,65,7.69,450.0,1,TARGET,90.0,78200.0
2025-04-01 12:00:00,2025-04-01 12:10:00,SELL,24534.75,24527.06,24538.6,65,-3.85,-300.0,1,STOP_LOSS,90.0,77900.0
2025-04-02 09:55:00,2025-04-02 10:05:00,BUY,24705.15,24712.84,24701.3,65,-3.85,-300.0,1,STOP_LOSS,90.0,77600.0
2025-04-02 10:05:00,2025-04-02 10:15:00,BUY,24690.3,24697.99,24686.45,65,7.69,450.0,1,TARGET,90.0,78050.0
2025-04-02 10:15:00,2025-04-02 10:25:00,BUY,24703.0,24710.69,24699.15,65,7.69,450.0,1,TARGET,90.0,78500.0
2025-04-04 09:55:00,2025-04-04 10:05:00,BUY,24818.65,24826.34,24814.8,65,7.69,450.0,1,TARGET,90.0,78950.0
2025-04-04 14:55:00,2025-04-04 15:05:00,SELL,24727.0,24719.31,24730.85,65,-3.85,-300.0,1,STOP_LOSS,90.0,78650.0
2025-04-07 09:25:00,2025-04-07 09:35:00,BUY,24004.0,24011.69,24000.15,65,7.69,450.0,1,TARGET,90.0,79100.0
2025-04-07 10:30:00,2025-04-07 10:40:00,SELL,23843.4,23835.71,23847.25,65,7.69,450.0,1,TARGET,84.1,79550.0
2025-04-07 10:50:00,2025-04-07 11:00:00,SELL,23891.4,23883.71,23895.25,65,7.69,450.0,1,TARGET,90.0,80000.0
2025-04-07 11:00:00,2025-04-07 11:10:00,SELL,23817.55,23809.86,23821.4,65,7.69,450.0,1,TARGET,90.0,80450.0
2025-04-07 11:10:00,2025-04-07 11:20:00,SELL,23790.25,23782.56,23794.1,65,7.69,450.0,1,TARGET,90.0,80900.0
2025-04-07 11:20:00,2025-04-07 11:30:00,SELL,23747.45,23739.76,23751.3,65,-3.85,-300.0,1,STOP_LOSS,82.6,80600.0
2025-04-07 11:55:00,2025-04-07 12:05:00,SELL,23733.35,23725.66,23737.2,65,7.69,450.0,1,TARGET,90.0,81050.0
2025-04-07 12:05:00,2025-04-07 12:15:00,SELL,23683.3,23675.61,23687.15,65,7.69,450.0,1,TARGET,85.9,81500.0
