datetime_readable,open,high,low,close,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
2025-11-28 09:39:00,26206.95,26220.9,26201.65,26219.45,1764302940,26229.96,26226.43,26224.44,26210.2,26200.92,26233.91,26223.68,26225.25,26222.44,26213.04,26211.58,26207.23,4.89,6.54,-1.65,49.92,51.08,55.94,70.43,-43.82,-96.39,16.58,18.38,26.87,-16.0,-0.06,0.0,19.83,26246.05,26224.44,26202.84,0.16,38.45,0.39,0.04,1,0.05,0.05,0.07,0.05,0.01,0.02,1,1,-0.02,-0.01,0.05,0.04
2025-11-28 09:41:00,26219.25,26240.35,26216.75,26234.95,1764303060,26229.01,26227.78,26225.12,26211.42,26201.04,26233.85,26227.44,26227.01,26223.63,26213.9,26212.05,26207.5,5.32,6.3,-0.98,54.68,54.5,57.09,61.1,-25.31,49.75,15.53,23.75,24.62,13.45,0.05,0.0,20.1,26247.15,26225.12,26203.08,0.17,72.32,0.49,0.07,1,0.06,0.06,0.09,0.06,0.02,0.01,1,1,0.04,0.04,0.05,0.04
2025-11-28 09:43:00,26235.1,26235.95,26224.3,26225.1,1764303180,26223.56,26228.74,26225.06,26212.05,26201.04,26233.71,26226.66,26226.67,26223.77,26214.34,26212.3,26207.68,4.81,6.0,-1.19,51.34,52.07,59.52,57.52,-52.32,27.11,14.55,22.74,23.57,9.65,0.04,0.0,19.5,26247.09,26225.06,26203.03,0.17,50.09,0.51,0.07,1,-0.04,0.04,0.04,0.04,0.0,0.0,-1,1,0.0,0.01,0.05,0.04
2025-11-28 09:45:00,26224.9,26224.9,26213.75,26217.3,1764303300,26220.61,26228.6,26224.8,26212.57,26200.84,26233.39,26223.54,26224.96,26223.15,26214.45,26212.4,26207.77,3.74,5.55,-1.81,48.79,50.21,50.36,55.66,-71.28,-55.4,14.21,21.76,26.54,-1.4,-0.01,0.0,18.92,26247.06,26224.8,26202.55,0.17,33.14,0.35,0.03,1,-0.03,0.03,0.04,0.03,0.0,0.01,-1,1,-0.03,-0.02,0.05,0.04
2025-11-28 09:47:00,26218.25,26239.5,26216.35,26239.15,1764303420,26227.19,26229.1,26225.73,26213.36,26200.75,26233.22,26228.74,26227.54,26224.68,26215.42,26212.93,26208.09,4.6,5.36,-0.76,55.45,54.94,48.4,52.76,-31.19,51.66,13.35,25.32,24.26,5.0,0.02,0.0,19.22,26248.75,26225.73,26202.72,0.18,79.15,0.49,0.06,1,0.08,0.08,0.09,0.08,0.0,0.01,1,1,0.05,0.06,0.05,0.05
2025-11-28 09:49:00,26238.7,26246.45,26232.6,26245.5,1764303540,26232.4,26231.18,26227.03,26214.01,26200.72,26233.09,26234.33,26230.81,26226.66,26216.6,26213.58,26208.46,5.73,5.43,0.29,57.19,56.21,59.33,52.7,-19.54,120.46,12.92,26.62,22.99,20.8,0.08,0.0,18.84,26251.39,26227.03,26202.68,0.19,87.91,0.68,0.1,1,0.02,0.02,0.05,0.03,0.0,0.02,1,1,0.07,0.07,0.05,0.05
2025-11-28 09:51:00,26245.2,26245.85,26238.9,26245.85,1764303660,26234.58,26231.8,26228.04,26214.61,26200.7,26232.89,26238.17,26233.54,26228.49,26217.75,26214.22,26208.83,6.57,5.66,0.91,57.29,56.29,76.79,61.51,-18.9,119.52,12.52,25.89,22.35,6.15,0.02,0.0,17.99,26253.72,26228.04,26202.36,0.2,84.67,0.92,0.17,1,0.0,0.0,0.03,0.0,0.0,0.02,1,1,0.07,0.07,0.06,0.05
2025-11-28 09:53:00,26245.2,26253.6,26244.4,26252.45,1764303780,26240.05,26231.8,26229.67,26215.88,26200.71,26232.79,26242.93,26236.98,26230.77,26219.11,26214.97,26209.26,7.69,6.06,1.62,59.21,57.65,84.92,73.68,-6.79,146.85,12.58,28.1,21.51,0.1,0.0,0.0,17.36,26257.14,26229.67,26202.2,0.21,91.46,1.14,0.23,1,0.03,0.03,0.04,0.03,0.0,0.0,1,1,0.09,0.08,0.06,0.05
2025-11-28 09:55:00,26254.05,26254.5,26242.1,26244.75,1764303900,26245.54,26233.08,26231.76,26216.61,26200.65,26232.61,26243.54,26238.39,26232.1,26220.11,26215.56,26209.62,7.86,6.42,1.43,56.05,55.53,84.46,82.06,-20.92,115.74,12.47,26.63,21.35,12.7,0.05,0.0,17.01,26257.07,26231.76,26206.44,0.19,75.66,0.94,0.18,1,-0.03,0.03,0.05,0.04,0.0,0.01,1,1,0.05,0.05,0.06,0.05
2025-11-28 09:57:00,26245.85,26253.0,26244.5,26251.65,1764304020,26248.04,26237.62,26232.82,26217.54,26200.76,26232.47,26246.24,26240.8,26233.96,26221.35,26216.28,26210.04,8.45,6.83,1.62,58.2,57.02,88.01,85.8,-8.26,118.08,12.36,25.65,20.56,45.4,0.17,0.0,16.4,26259.56,26232.82,26206.08,0.2,85.2,1.2,0.27,1,0.03,0.03,0.03,0.02,0.01,0.01,1,1,0.07,0.07,0.05,0.05
2025-11-28 09:59:00,26251.05,26254.95,26249.3,26253.45,1764304140,26249.63,26241.02,26233.72,26218.55,26200.91,26232.38,26248.64,26243.1,26235.82,26222.61,26217.01,26210.47,8.97,7.26,1.71,58.77,57.41,88.62,87.03,-4.95,118.69,12.39,25.88,20.03,34.0,0.13,0.0,15.63,26261.93,26233.72,26205.52,0.22,84.97,1.54,0.39,1,0.01,0.01,0.02,0.01,0.01,0.01,1,1,0.08,0.07,0.05,0.06
2025-11-28 10:01:00,26255.1,26261.7,26247.65,26253.7,1764304260,26251.2,26242.89,26235.33,26219.39,26201.03,26232.3,26250.33,26245.03,26237.52,26223.83,26217.74,26210.9,9.29,7.66,1.62,58.85,57.47,91.16,89.26,-13.32,113.64,12.83,27.31,18.73,18.75,0.07,0.0,15.52,26264.23,26235.33,26206.43,0.22,81.78,1.63,0.42,1,0.0,0.0,0.05,0.01,0.03,0.02,1,1,0.07,0.06,0.05,0.06
2025-11-28 10:03:00,26254.05,26262.25,26253.4,26257.15,1764304380,26252.14,26246.1,26237.42,26220.28,26201.27,26232.41,26252.6,26247.23,26239.39,26225.14,26218.52,26211.36,9.71,8.07,1.63,60.06,58.27,91.1,90.29,-8.42,118.61,13.28,26.42,17.95,32.05,0.12,0.0,15.04,26266.3,26237.42,26208.54,0.22,84.16,1.63,0.42,1,0.01,0.01,0.03,0.01,0.02,0.0,1,1,0.08,0.07,0.04,0.06
2025-11-28 10:05:00,26257.05,26267.8,26256.7,26265.55,1764304500,26256.3,26250.92,26239.76,26221.74,26201.65,26232.57,26256.92,26250.56,26241.88,26226.72,26219.45,26211.9,10.59,8.58,2.02,62.9,60.19,91.62,91.29,-3.4,137.94,14.04,27.69,16.98,48.25,0.18,0.0,14.76,26269.76,26239.76,26209.76,0.23,92.98,1.73,0.44,1,0.03,0.03,0.04,0.03,0.01,0.0,1,1,0.1,0.09,0.03,0.06
2025-11-28 10:07:00,26265.5,26267.05,26259.8,26264.05,1764304620,26258.78,26253.41,26241.25,26222.91,26201.99,26232.71,26259.3,26253.02,26243.99,26228.18,26220.34,26212.42,11.05,9.07,1.98,62.05,59.67,93.75,92.16,-6.94,124.11,14.75,26.68,16.36,24.9,0.09,0.01,14.22,26272.93,26241.25,26209.58,0.24,85.99,1.99,0.53,1,-0.01,0.01,0.03,0.01,0.01,0.02,1,1,0.09,0.08,0.03,0.06
2025-11-28 10:09:00,26264.65,26265.95,26258.5,26263.25,1764304740,26260.74,26255.18,26243.18,26224.16,26202.37,26232.83,26260.61,26254.88,26245.83,26229.56,26221.18,26212.92,11.22,9.5,1.72,61.57,59.39,93.75,93.04,-8.42,107.08,15.27,25.65,16.41,17.75,0.07,0.01,13.74,26275.28,26243.18,26211.09,0.24,81.26,2.04,0.54,1,-0.0,0.0,0.03,0.01,0.0,0.02,1,1,0.08,0.07,0.03,0.06
2025-11-28 10:11:00,26262.75,26263.8,26257.3,26258.95,1764304860,26261.79,26256.5,26244.14,26225.4,26202.76,26232.89,26260.06,26255.62,26247.08,26230.71,26221.93,26213.38,10.88,9.78,1.1,58.95,57.83,89.42,92.31,-16.37,84.89,15.61,24.75,16.48,13.1,0.05,0.01,13.22,26276.91,26244.14,26211.38,0.25,72.59,2.21,0.61,1,-0.02,0.02,0.02,0.01,0.0,0.01,1,1,0.06,0.05,0.02,0.06
2025-11-28 10:13:00,26258.4,26259.3,26239.3,26240.4,1764304980,26258.44,26255.29,26243.55,26226.66,26202.99,26232.84,26253.51,26252.85,26246.44,26231.09,26222.3,26213.65,9.01,9.62,-0.61,49.19,51.7,73.98,85.72,-53.26,14.2,14.8,22.17,24.14,-12.05,-0.05,0.01,13.71,26276.13,26243.55,26210.97,0.25,45.17,2.29,0.66,1,-0.07,0.07,0.08,0.07,0.0,0.0,1,1,-0.01,-0.02,0.03,0.06
2025-11-28 10:15:00,26240.65,26245.45,26232.25,26232.6,1764305100,26251.85,26254.08,26243.58,26227.66,26203.42,26232.73,26246.54,26249.17,26245.12,26231.15,26222.5,26213.84,6.82,9.06,-2.24,45.76,49.39,43.79,69.06,-99.02,-34.47,14.59,20.64,26.16,-12.15,-0.05,0.01,13.67,26276.12,26243.58,26211.03,0.25,33.14,1.95,0.48,1,-0.03,0.03,0.05,0.03,0.02,0.0,1,1,-0.04,-0.05,0.04,0.06
2025-11-28 10:17:00,26233.75,26241.0,26227.25,26228.4,1764305220,26244.72,26251.75,26244.68,26228.67,26203.93,26232.58,26240.49,26245.39,26243.53,26231.04,26222.62,26213.98,4.69,8.19,-3.5,43.99,48.17,16.85,44.87,-97.16,-66.42,14.74,19.16,26.89,-23.25,-0.09,0.0,13.68,26273.35,26244.68,26216.02,0.22,21.6,1.15,0.21,1,-0.02,0.02,0.05,0.02,0.03,0.0,1,1,-0.06,-0.06,0.05,0.06
2025-11-28 10:19:00,26229.2,26237.35,26224.6,26226.6,1764305340,26237.39,26249.06,26245.04,26229.35,26204.39,26232.35,26235.86,26241.98,26241.92,26230.87,26222.7,26214.11,2.82,7.11,-4.29,43.21,47.64,2.82,21.15,-95.37,-92.13,15.08,17.88,26.48,-26.85,-0.1,0.0,13.61,26272.59,26245.04,26217.49,0.21,16.54,0.49,0.04,1,-0.01,0.01,0.05,0.01,0.03,0.01,-1,1,-0.07,-0.06,0.06,0.05
2025-11-28 10:21:00,26227.15,26230.8,26224.25,26227.6,1764305460,26231.12,26246.46,26244.67,26230.17,26204.83,26232.12,26233.11,26239.36,26240.55,26230.74,26222.8,26214.24,1.41,5.97,-4.56,43.8,47.98,5.05,8.24,-92.31,-101.33,15.41,17.24,25.73,-26.1,-0.1,0.0,13.11,26272.94,26244.67,26216.4,0.22,19.8,0.08,0.0,1,0.0,0.0,0.02,0.0,0.01,0.01,-1,1,-0.07,-0.05,0.06,0.06
2025-11-28 10:23:00,26228.05,26228.05,26220.85,26220.85,1764305580,26227.21,26242.82,26244.46,26230.8,26205.14,26231.79,26229.02,26236.0,26238.68,26230.35,26222.76,26214.31,-0.25,4.73,-4.98,40.72,45.91,4.11,3.99,-100.0,-121.92,15.98,16.54,26.6,-36.3,-0.14,0.0,12.68,26273.37,26244.46,26215.55,0.22,9.17,-0.57,0.05,-1,-0.03,0.03,0.03,0.03,0.0,0.0,-1,1,-0.09,-0.07,0.07,0.06
2025-11-28 10:25:00,26221.85,26231.2,26218.8,26231.2,1764305700,26226.93,26239.39,26245.16,26230.98,26205.79,26231.49,26229.75,26235.12,26237.97,26230.39,26222.92,26214.48,-0.72,3.64,-4.36,46.9,49.42,11.0,6.72,-74.69,-106.76,16.13,17.16,24.74,-34.35,-0.13,0.0,12.66,26272.02,26245.16,26218.29,0.2,24.02,-1.19,0.26,-1,0.04,0.04,0.05,0.04,0.0,0.01,-1,1,-0.05,-0.03,0.06,0.05
2025-11-28 10:27:00,26231.55,26239.05,26230.55,26234.4,1764305820,26228.13,26236.42,26244.92,26231.44,26206.59,26231.23,26231.3,26234.99,26237.63,26230.54,26223.15,26214.67,-0.83,2.74,-3.58,48.68,50.46,19.05,11.38,-68.16,-63.4,15.41,20.85,23.53,-29.65,-0.11,0.0,12.37,26272.07,26244.92,26217.77,0.21,30.63,-1.44,0.37,-1,0.01,0.01,0.03,0.01,0.02,0.0,-1,1,-0.04,-0.01,0.05,0.05
2025-11-28 10:29:00,26233.95,26241.4,26231.95,26241.0,1764305940,26231.01,26234.2,26244.69,26232.03,26207.53,26230.96,26234.53,26236.08,26237.95,26230.95,26223.5,26214.94,-0.38,2.12,-2.5,52.24,52.58,34.15,21.4,-54.69,-40.87,14.5,21.07,22.22,-22.25,-0.08,0.0,12.16,26271.9,26244.69,26217.49,0.21,43.21,-1.48,0.4,-1,0.03,0.03,0.04,0.03,0.0,0.01,-1,1,-0.01,0.01,0.04,0.05
2025-11-28 10:31:00,26240.55,26252.15,26239.3,26252.15,1764306060,26235.92,26233.52,26245.01,26232.9,26208.5,26230.76,26240.4,26239.01,26239.3,26231.79,26224.07,26215.31,0.87,1.87,-1.0,57.59,55.93,48.4,33.87,-31.94,15.66,14.27,25.78,20.55,-6.8,-0.03,0.0,12.21,26272.4,26245.01,26217.61,0.21,63.04,-1.36,0.33,-1,0.04,0.04,0.05,0.04,0.0,0.0,-1,1,0.03,0.05,0.03,0.05
2025-11-28 10:33:00,26252.1,26256.05,26247.8,26250.75,1764306180,26241.9,26234.56,26244.92,26233.67,26209.52,26230.63,26243.85,26241.14,26240.39,26232.53,26224.6,26215.66,1.72,1.84,-0.12,56.73,55.41,59.86,47.47,-33.78,36.78,14.37,26.84,19.53,10.35,0.04,0.0,11.92,26272.23,26244.92,26217.61,0.21,60.67,-1.16,0.24,-1,-0.01,0.01,0.03,0.01,0.02,0.01,-1,1,0.02,0.04,0.04,0.05
2025-11-28 10:35:00,26250.5,26263.5,26250.5,26263.35,1764306300,26248.33,26237.63,26245.85,26234.7,26210.63,26230.57,26250.35,26245.18,26242.58,26233.74,26225.37,26216.13,3.38,2.15,1.23,62.19,58.99,76.25,61.51,-5.51,74.75,15.04,29.2,18.02,30.75,0.12,0.0,12.0,26274.32,26245.85,26217.38,0.22,80.73,-0.9,0.13,-1,0.05,0.05,0.05,0.05,0.0,0.0,1,1,0.07,0.08,0.05,0.06
2025-11-28 10:37:00,26262.2,26268.3,26260.7,26268.1,1764306420,26255.07,26241.6,26246.68,26235.81,26211.63,26230.49,26256.27,26249.35,26245.01,26235.09,26226.21,26216.65,5.02,2.72,2.3,64.04,60.25,86.77,74.29,-0.4,101.62,15.99,30.78,17.18,39.7,0.15,0.0,11.69,26276.67,26246.68,26216.68,0.23,85.71,-0.49,0.04,-1,0.02,0.02,0.03,0.02,0.0,0.01,1,1,0.08,0.09,0.06,0.06
2025-11-28 10:39:00,26267.55,26270.35,26264.35,26269.8,1764306540,26260.83,26245.92,26247.49,26236.98,26212.79,26230.44,26260.78,26253.07,26247.37,26236.45,26227.08,26217.18,6.38,3.45,2.93,64.7,60.7,97.67,86.9,-1.07,104.74,17.01,30.9,16.53,43.2,0.16,0.0,11.28,26279.04,26247.49,26215.95,0.24,85.36,-0.05,0.0,-1,0.01,0.01,0.02,0.01,0.0,0.01,1,1,0.08,0.09,0.07,0.06
2025-11-28 10:41:00,26269.65,26273.3,26266.3,26268.5,1764306660,26264.1,26250.01,26248.23,26237.92,26213.94,26230.39,26263.35,26255.87,26249.38,26237.7,26227.9,26217.69,7.27,4.22,3.05,63.73,60.15,96.57,93.67,-8.81,101.53,18.16,31.42,15.78,40.9,0.16,0.0,10.98,26281.0,26248.23,26215.47,0.25,80.93,0.35,0.01,1,-0.0,0.0,0.03,0.0,0.01,0.01,1,1,0.08,0.07,0.07,0.06
2025-11-28 10:43:00,26267.65,26274.5,26266.95,26274.45,1764306780,26268.84,26255.37,26249.1,26238.88,26215.18,26230.35,26267.05,26259.25,26251.77,26239.14,26228.82,26218.26,8.36,5.05,3.31,66.23,61.82,96.68,96.97,-0.09,105.13,19.31,30.64,14.99,53.6,0.2,0.0,10.73,26283.62,26249.1,26214.57,0.26,86.72,0.86,0.08,1,0.02,0.02,0.03,0.03,0.0,0.0,1,1,0.1,0.09,0.06,0.07
2025-11-28 10:45:00,26273.95,26280.75,26269.3,26279.4,1764306900,26272.05,26260.19,26249.79,26240.02,26216.55,26230.33,26271.17,26262.91,26254.4,26240.72,26229.82,26218.86,9.51,5.94,3.57,68.18,63.16,96.31,96.52,-2.18,117.47,20.8,32.45,13.85,48.2,0.18,0.0,10.78,26286.12,26249.79,26213.46,0.28,90.76,1.55,0.24,1,0.02,0.02,0.04,0.02,0.01,0.02,1,1,0.11,0.1,0.06,0.07
2025-11-28 10:47:00,26278.2,26278.6,26272.85,26277.35,1764307020,26273.9,26264.48,26250.46,26241.16,26217.84,26230.33,26273.23,26265.54,26256.59,26242.16,26230.76,26219.45,10.14,6.78,3.36,66.47,62.21,97.41,96.8,-5.49,109.24,22.19,31.0,13.23,42.95,0.16,0.0,10.48,26288.26,26250.46,26212.65,0.29,85.57,2.17,0.44,1,-0.01,0.01,0.02,0.0,0.0,0.02,1,1,0.1,0.08,0.05,0.07
2025-11-28 10:49:00,26277.15,26277.5,26265.8,26269.35,1764307140,26273.81,26267.32,26250.76,26242.16,26218.95,26230.32,26271.94,26266.23,26257.8,26243.23,26231.53,26219.94,9.89,7.4,2.48,60.1,58.58,91.31,95.01,-18.4,82.75,22.42,28.55,16.95,28.35,0.11,0.0,10.57,26289.07,26250.76,26212.45,0.29,74.27,2.65,0.63,1,-0.03,0.03,0.04,0.03,0.0,0.01,1,1,0.07,0.04,0.04,0.07
2025-11-28 10:51:00,26269.55,26270.1,26260.95,26267.5,1764307260,26273.61,26268.86,26251.19,26242.99,26220.06,26230.3,26270.46,26266.46,26258.73,26244.18,26232.24,26220.42,9.42,7.81,1.62,58.7,57.77,84.91,91.21,-21.39,61.12,22.0,26.77,19.2,15.35,0.06,0.0,10.47,26290.04,26251.19,26212.34,0.3,70.99,3.01,0.8,1,-0.01,0.01,0.03,0.01,0.0,0.02,1,1,0.06,0.03,0.03,0.08
